scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_weber,324.9954358740737,0.9281670971822091,0.832072061891578,0.6164825859223014,4,1.1103354210217697,0.20237048624937842,0.0
overall,Static_weber,330.5660408146058,0.05727758199172544,0.8211542238304992,0.6565632128649679,3,,0.1143636705479127,5.570604940532121
overall,Seq_weber,334.8644448060039,0.006677257252104669,0.8149735905628486,0.6792530214959686,3,,0.050731930055444775,9.869008931930239
overall,SeqGain_weber,335.8005114265434,0.00418151659273305,0.8176082279601204,0.6695809675546578,4,1.0352497197924173,0.06932214552966665,10.805075552469702
overall,Linear_weber,336.0473248797777,0.003696059585782188,0.81222155975363,0.6893560400223414,3,,,11.051889005704027
overall,Static_basic,354.8646217563809,3.031201904491788e-07,0.8367721251633097,0.5992281183667908,3,,0.34642683285901144,29.86918588230725
overall,StaticGain_basic,355.8610619610679,1.8417921767312394e-07,0.8378605396909313,0.5952324246775706,4,0.9611680325317055,0.3200219418204909,30.86562608699421
overall,SeqGain_basic,371.3535988410704,7.963041609766014e-11,0.8202188262033785,0.6599971640855242,4,0.8880310101173275,0.16383111324037014,46.3581629669967
overall,Linear_basic,374.8620221715295,1.3779534255291982e-11,0.813494033149578,0.6846846452652348,3,,,49.8665862974558
overall,Seq_basic,378.1763548609889,2.6274613705573105e-12,0.8093272164768623,0.699981503824895,3,,0.2592480484334862,53.18091898691523
range:long,Static_weber,137.20013116130454,0.2880286144532289,0.39486853836377533,0.8664877399169102,3,,0.33050133807695875,0.0
range:long,Linear_weber,137.2001311613086,0.2880286144526436,0.3948685157302373,0.8664877723258734,3,,,4.064304448547773e-12
range:long,SeqGain_weber,139.18258555871745,0.1068934594384419,0.3947629931978326,0.8666388700400236,4,0.6821763863029793,0.025325319537678193,1.9824543974129085
range:long,StaticGain_weber,139.20013116130434,0.10595980572644921,0.394868532143527,0.8664877488236838,4,1.8265874257666384,0.6334702642378575,1.999999999999801
range:long,Static_basic,140.40513542254348,0.058006652388422,0.39876932031367607,0.8609022102428473,3,,0.3667134143055512,3.2050042612389404
range:long,Linear_basic,140.40513542254507,0.058006652388375844,0.39876932031366874,0.8609022102428578,3,,,3.205004261240532
range:long,Seq_weber,140.93391944155053,0.04453011450834151,0.36492294015515137,0.9093668419918388,3,,0.2628813436637389,3.7337882802459887
range:long,SeqGain_basic,142.32437966035437,0.02221872899023637,0.3997395933871858,0.8595128762288887,4,0.6611400428645039,0.05691298483171922,5.124248499049827
range:long,StaticGain_basic,142.40513542254362,0.02133945486487728,0.3987693203136744,0.8609022102428497,4,2.0836300827144707,0.6960657250318618,5.2050042612390826
range:long,Seq_basic,144.6378898611077,0.006987902788983278,0.3456556281970805,0.9369557059846005,3,,0.3246343281892207,7.437758699803169
range:medium,Static_weber,124.00644272681228,0.19909864142456316,0.37632740101961715,0.647387749556612,3,,0.4413045369410017,0.0
range:medium,Linear_weber,124.00644272681262,0.19909864142452918,0.37632738664020227,0.6473877644828042,3,,,3.410605131648481e-13
range:medium,Linear_basic,124.31330274141949,0.17077900976586588,0.3988620765324271,0.6239961930074275,3,,,0.30686001460721
range:medium,Static_basic,124.31330274141953,0.17077900976586224,0.39886207653242667,0.6239961930074279,3,,0.4815969419075718,0.30686001460725265
range:medium,StaticGain_weber,126.00644272681234,0.07324429694525958,0.37632739930719405,0.64738775133415,4,1.4989609877881174,0.6272781856133608,2.000000000000057
range:medium,SeqGain_weber,126.1800732068727,0.0671537755789034,0.37294993055512093,0.6508936483355208,4,0.5609122895891694,0.009900990099009901,2.1736304800604245
range:medium,StaticGain_basic,126.3133027414199,0.06282608667646608,0.3988620765324248,0.6239961930074299,4,0.9562601216609345,0.4578848717287291,2.306860014607622
range:medium,SeqGain_basic,126.51654943986283,0.05675518574415097,0.3964135173231992,0.6265378586805863,4,0.5207266212847991,0.009900990099009901,2.510106713050547
range:medium,Seq_weber,137.35101332220293,0.00025196000604619465,0.23147778946888864,0.7977452675865571,3,,0.19179048115045721,13.34457059539065
range:medium,Seq_basic,143.2201392208666,1.3392668353428821e-05,0.12260163293769122,0.9107614399698533,3,,0.30515300168321624,19.213696494054318
range:short,Linear_weber,45.18864132857437,0.2786032971647716,0.8428795250464801,0.17988723177428492,3,,,0.0
range:short,Seq_weber,45.39549865884447,0.251227833574687,0.8455984214433591,0.17677436728949825,3,,0.009900990099009901,0.2068573302700969
range:short,Static_weber,45.420465922204606,0.24811109243303445,0.8423604521664478,0.18048151831463385,3,,0.0,0.2318245936302361
range:short,SeqGain_weber,46.888038112457465,0.1191151299641991,0.8523151955391188,0.16908433262726288,4,1.0426379506169834,0.02584417558156783,1.6993967838830955
range:short,StaticGain_weber,47.18864132857452,0.1024924252694898,0.8428795251365273,0.17988723167118992,4,1.647902555422213,0.37881837815533165,2.000000000000149
range:short,SeqGain_basic,60.04100264066967,0.00016589640362162772,0.8551960196124027,0.16578607714576013,4,0.8912161033245428,0.11479824953201362,14.852361312095297
range:short,Seq_basic,60.69106927389365,0.00011986069606864442,0.8473141868705798,0.17480998745187326,3,,0.1808292374735689,15.502427945319283
range:short,Static_basic,61.78232987524978,6.94564475151422e-05,0.843945155444096,0.17866719153205446,3,,0.18235620241123662,16.59368854667541
range:short,Linear_basic,61.78232987524987,6.9456447515139e-05,0.8439451554440957,0.17866719153205488,3,,,16.5936885466755
range:short,StaticGain_basic,63.78232987525072,2.5551599097612146e-05,0.843945155444093,0.1786671915320579,4,0.8181838214850208,0.000660032894206368,18.593688546676347
