scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Static_basic,207.08062449720205,0.5237348547508899,0.943243516651793,0.2237245727196371,3,,0.21665197010222728,0.0
overall,StaticGain_basic,207.32031721378542,0.46458251986852955,0.9439056826736194,0.22111442491689692,4,1.0313852402770398,0.24048936856440767,0.2396927165833631
overall,Seq_basic,215.3555910643297,0.008360366537307425,0.9400244884765815,0.23641344385094565,3,,0.2011901372929996,8.274966567127649
overall,SeqGain_basic,217.20132455644517,0.0033222276081895175,0.9400861381873953,0.23617043099326906,4,0.9913304304287756,0.19492991159430736,10.12070005924312
overall,Linear_basic,240.35053284762893,3.1235083574980984e-08,0.9291496941594735,0.2792800657500242,3,,,33.269908350426874
overall,StaticGain_weber,289.44710446830237,6.814870455447671e-19,0.9335510243265999,0.2619307577423865,4,1.1357030426549004,0.14522608228678424,82.36647997110032
overall,SeqGain_weber,294.1030030477606,6.644190471216664e-20,0.9341988262688232,0.25937723074104435,4,1.0925450035283122,0.08773153292658759,87.02237855055853
overall,Linear_weber,298.4711396470632,7.480200921861745e-21,0.9246334089624931,0.2970825072750829,3,,,91.39051514986113
overall,Seq_weber,303.6298396726726,5.671733103494029e-22,0.932525216985765,0.2659743188561532,3,,0.042526028573040005,96.54921517547052
overall,Static_weber,304.7031588680528,3.316251687529003e-22,0.9299602403052023,0.27608502829482784,3,,0.02923064596282128,97.62253437085076
range:long,Linear_basic,81.66801899185772,0.16507383791560457,0.7386566869264097,0.26593145627791015,3,,,0.0
range:long,Static_basic,81.66801899185904,0.16507383791549549,0.7386566869264021,0.265931456277918,3,,0.2734198781202943,1.3216094885137863e-12
range:long,Static_weber,81.93431555786083,0.1444949549812541,0.7427189743999627,0.26179785128547145,3,,0.22836722437297055,0.26629656600310625
range:long,Linear_weber,81.93431555788503,0.1444949549795056,0.7427189996246975,0.26179782561789133,3,,,0.26629656602730734
range:long,SeqGain_basic,81.96263897589367,0.14246308083791756,0.7474201797871318,0.25701411153652526,4,0.7904403927286235,0.10940877431012691,0.2946199840359469
range:long,SeqGain_weber,83.09451284967292,0.08089450896520849,0.7543421860202372,0.2499705825619915,4,0.8140068078741287,0.07154112650871429,1.4264938578152027
range:long,StaticGain_basic,83.66801899185944,0.06072727124436564,0.7386566869263989,0.2659314562779212,4,0.7343141381148087,0.010532373555041911,2.0000000000017195
range:long,StaticGain_weber,83.9343155578596,0.05315672329062895,0.7427189749054421,0.2617978507711179,4,1.7493700391007743,0.5589082137749581,2.266296566001884
range:long,Seq_basic,85.5514014927514,0.023681676978880028,0.7175497104962469,0.2874089867862809,3,,0.2552031616832592,3.883382500893674
range:long,Seq_weber,85.8954341830186,0.01993915289113952,0.736883645360461,0.2677356253615906,3,,0.19165457549256795,4.227415191160873
range:medium,Static_basic,30.306318237502047,0.37768432539070784,0.885890100813471,0.0952023453309179,3,,0.30736513577220115,0.0
range:medium,Linear_basic,30.306318237505,0.3776843253901503,0.8858901008134653,0.09520234533092267,3,,,2.9523050670832163e-12
range:medium,StaticGain_basic,32.30631823750247,0.13894229856391765,0.88589010081347,0.09520234533091874,4,2.2346402204438167,0.69004636314665,2.000000000000419
range:medium,SeqGain_basic,33.071841182102844,0.09475525047390737,0.8841295831160197,0.09667115228797223,4,0.6971910662033073,0.009900990099009901,2.7655229446007965
range:medium,Linear_weber,39.31419899969693,0.004179193760220483,0.8793271678494411,0.10067782655453991,3,,,9.00788076219488
range:medium,Static_weber,39.31419899969805,0.004179193760218137,0.8793271694074547,0.10067782525468294,3,,0.29338903478243383,9.007880762196002
range:medium,StaticGain_weber,41.31419899969376,0.001537439465059526,0.8793271739216919,0.10067782148843672,4,1.5375696959978054,0.5404364317355106,11.00788076219171
range:medium,SeqGain_weber,42.09990592943598,0.001037967924208823,0.8768506341057649,0.10274400856302388,4,0.7107950484561468,0.009900990099009901,11.79358769193393
range:medium,Seq_basic,66.71429189108221,4.690702977761272e-09,0.7636481735479026,0.19718927421629068,3,,0.21280019003230294,36.407973653580164
range:medium,Seq_weber,70.89178602251746,5.809069988069715e-10,0.7775216606974777,0.1856145683934515,3,,0.17770589361329103,40.58546778501542
range:short,Seq_basic,69.78453494277156,0.5341828626739986,0.8616996646708563,0.2096771383925147,3,,0.15751648747344993,0.0
range:short,SeqGain_basic,70.18091593600649,0.43814404369192816,0.8660649095201706,0.20305899067646938,4,1.0958436799212061,0.20666398143682035,0.3963809932349278
range:short,Static_basic,78.57537038321296,0.006588465704190998,0.8351156412489943,0.24998117630239972,3,,0.06403310796516404,8.790835440441398
range:short,Linear_basic,78.5753703832131,0.00658846570419053,0.8351156412489937,0.24998117630240047,3,,,8.79083544044154
range:short,Linear_weber,79.45067257068399,0.004253190494340801,0.8302281047727187,0.2573911703540812,3,,,9.666137627912434
range:short,SeqGain_weber,80.3496148041545,0.0027133886798410755,0.8532338421942204,0.2225121718493424,4,1.135431651897849,0.06264482615376342,10.56507986138294
range:short,StaticGain_basic,80.5753703832133,0.002423761081434584,0.8351156412489937,0.24998117630240063,4,1.3082293853423865,0.28455445662492074,10.79083544044174
range:short,Static_weber,81.20297113456043,0.0017709570805307159,0.8244009815882549,0.2662256718140466,3,,0.0,11.41843619178887
range:short,Seq_weber,81.2038223054962,0.0017702035472907615,0.8269320250594554,0.26238835680735967,3,,0.009900990099009901,11.419287362724646
range:short,StaticGain_weber,81.450672570684,0.0015646613422537732,0.8302281040318162,0.25739117147736346,4,1.690823577804336,0.3577975492282209,11.666137627912448
