scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Static_basic,228.78891063018838,0.7187351883464577,0.9283914303094267,0.2585625446155882,3,,0.28573536936685817,0.0
overall,StaticGain_basic,230.66541944863587,0.2812484873400015,0.9284503595611577,0.25834976425500156,4,0.991038911326537,0.2792768972819068,1.8765088184474905
overall,SeqGain_basic,250.45649845004638,1.4174638596263834e-05,0.9183589656634438,0.2947875327537435,4,0.9391572855941838,0.20246092130486568,21.667587819858
overall,Seq_basic,254.23513414981522,2.1428495389486417e-06,0.9151524390939895,0.3063655837154948,3,,0.25576611417794476,25.44622351962684
overall,Linear_basic,265.7336141913577,6.825405558257421e-09,0.9083925336287476,0.33077409188716217,3,,,36.94470356116929
overall,StaticGain_weber,306.74174348991477,8.4981878736183e-18,0.9250221567532915,0.27072823858133455,4,1.0544087929808081,0.21661743485116325,77.95283285972639
overall,Static_weber,307.48862611730794,5.8498243533940324e-18,0.9260352831949448,0.2670700653779995,3,,0.1739945006234315,78.69971548711956
overall,Seq_weber,322.37774592990553,3.4198852860300875e-21,0.9143625621771952,0.30921765276843,3,,0.08735244628918504,93.58883529971715
overall,SeqGain_weber,323.76327525100794,1.7105968554064827e-21,0.9150098616238185,0.3068803991021386,4,0.9769620638661418,0.07143780351690518,94.97436462081956
overall,Linear_weber,324.1206704073296,1.4306727235543454e-21,0.90813725080882,0.33169586110839266,3,,,95.33175977714123
range:long,Static_basic,89.46055730265212,0.19701490569031624,0.6631587488044965,0.3107812717974125,3,,0.344448805458702,0.0
range:long,Linear_basic,89.46055730265537,0.19701490568999566,0.6631587488044697,0.3107812717974372,3,,,3.254285729781259e-12
range:long,Static_weber,89.9423508880529,0.1548384935485976,0.6664847885376436,0.3077125536560105,3,,0.3079757750757422,0.48179358540078
range:long,Linear_weber,89.94235088807147,0.15483849354715964,0.666484801884976,0.30771254134130455,3,,,0.4817935854193536
range:long,SeqGain_basic,90.80685104098978,0.10049746668926593,0.6675339899596311,0.3067445244994282,4,0.6973953361160287,0.08074932829843762,1.346293738337664
range:long,StaticGain_basic,91.46055730265157,0.07247773340781803,0.6631587488044955,0.3107812717974134,4,2.1431239183693336,0.6941141942746982,1.9999999999994458
range:long,SeqGain_weber,91.79901255309385,0.061194160240430354,0.6702632871696953,0.3042263814422864,4,0.7106174629375466,0.035622186324648586,2.3384552504417258
range:long,StaticGain_weber,91.9423508880549,0.056961898478428995,0.6664847824676465,0.3077125592563977,4,1.5690025618525445,0.5589399779140045,2.4817935854027837
range:long,Seq_basic,97.73090429505669,0.0031522166162882646,0.602570049060765,0.3666824807380584,3,,0.33043798460829227,8.27034699240457
range:long,Seq_weber,98.63111920121166,0.0020097260916991416,0.6210294139448307,0.34965123864736575,3,,0.259510108663149,9.17056189855954
range:medium,Static_basic,53.37287150620041,0.35468161524286895,0.8381634174874143,0.15100842692329697,3,,0.2875098708537738,0.0
range:medium,Linear_basic,53.37287150620064,0.35468161524282865,0.838163417487414,0.15100842692329727,3,,,2.2737367544323206e-13
range:medium,StaticGain_basic,55.37287150620183,0.13048007440923845,0.8381634174874097,0.15100842692330124,4,0.7860956911506929,0.0936343955862067,2.000000000001421
range:medium,SeqGain_basic,55.41088910460645,0.12802322968699623,0.8380403179298233,0.1511232901406127,4,0.717837928669613,0.009900990099009901,2.038017598406036
range:medium,Static_weber,60.1800970754401,0.011794198334151025,0.836055265948483,0.15297552634338749,3,,0.2803874658744044,6.807225569239691
range:medium,Linear_weber,60.18009707544776,0.011794198334105853,0.8360552600204971,0.15297553187474397,3,,,6.8072255692473504
range:medium,StaticGain_weber,62.18009707544334,0.004338843092225606,0.8360552645538133,0.15297552764474262,4,0.8033214630642028,0.10420366061600861,8.80722556924293
range:medium,SeqGain_weber,62.290289465613526,0.004106255525493204,0.8352849404293495,0.15369431095349975,4,0.7245880941330517,0.009900990099009901,8.917417959413115
range:medium,Seq_basic,69.8341671836306,9.44743121884078e-05,0.7750646585154399,0.20988537665392484,3,,0.2646834253803663,16.461295677430186
range:medium,Seq_weber,75.52284754981734,5.4958199036478056e-06,0.7583193469485393,0.22551029358431968,3,,0.26776473936734807,22.14997604361693
range:short,Static_basic,86.9429363041132,0.3363232418709709,0.7455360988907771,0.2955201247697894,3,,0.22600519228370572,0.0
range:short,Linear_basic,86.94293630412027,0.33632324186978324,0.7455360988907411,0.29552012476983114,3,,,7.062794793455396e-12
range:short,SeqGain_basic,88.80607662318978,0.13248939007959276,0.7462316634774876,0.2947123350104006,4,0.7946083486368055,0.035796010628359624,1.863140319076578
range:short,StaticGain_basic,88.94293630411283,0.12372640627248346,0.7455360988907789,0.29552012476978734,4,0.7762320599756011,0.002882230623613131,1.9999999999996305
range:short,Seq_basic,91.80510179740297,0.02957679142318449,0.7195480825513771,0.3257011516174535,3,,0.18662944695057113,4.8621654932897655
range:short,Static_weber,93.28810789316512,0.014090304438181486,0.7472246959346064,0.29355908272452047,3,,0.11980174057620809,6.345171589051915
range:short,Linear_weber,93.28810789316515,0.014090304438181286,0.7472246952334481,0.2935590835388064,3,,,6.345171589051944
range:short,StaticGain_weber,95.28810789316516,0.005183533322653588,0.7472246986740216,0.29355907954311694,4,1.3707284843432326,0.3578609731069906,8.345171589051958
range:short,SeqGain_weber,95.50117171651534,0.004659718416585081,0.7471640027275455,0.29362956841638144,4,0.885788635985141,0.009900990099009901,8.55823541240214
range:short,Seq_weber,96.0524855615676,0.0035370678683838194,0.7256290854154606,0.3186390154272673,3,,0.0263167220142048,9.10954925745439
