scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_weber,275.6280260902404,0.9704517050797313,0.8863141462241636,0.44481074976519275,4,1.0975029990031044,0.2477581209534307,0.0
overall,Static_weber,282.6131757964173,0.029523506759878457,0.8749647594103395,0.4892167078537556,3,,0.17441227195223322,6.985149706176912
overall,Seq_weber,297.6355375050777,1.614743494319751e-05,0.8720737159790846,0.5005282928359633,3,,0.08473609070068228,22.007511414837325
overall,SeqGain_weber,299.5782406474372,6.112951021503787e-06,0.8731028548978579,0.49650165241529415,4,1.0070653098140925,0.08953783100706379,23.95021455719683
overall,Linear_weber,301.38796572509324,2.473284687027307e-06,0.8642756414683455,0.531039277753103,3,,,25.759939634852856
overall,Static_basic,309.6630060803488,3.947952572127985e-08,0.8866944310877523,0.4433228355728889,3,,0.2727275012499879,34.03497999010841
overall,StaticGain_basic,311.60657286212484,1.493935207762869e-08,0.8867370510559509,0.44315607938133306,4,1.0079329257293816,0.278451544862381,35.97854677188445
overall,Seq_basic,323.55747344721493,3.7951301444008293e-11,0.8756975012127765,0.4863497598588981,3,,0.25572844784395565,47.92944735697455
overall,SeqGain_basic,323.86420000110445,3.255531100818384e-11,0.8770927984664234,0.48089047713438454,4,0.9576625005622925,0.2144784045395241,48.23617391086407
overall,Linear_basic,332.90693636708545,3.5401086896388906e-13,0.8677032038878332,0.5176284921624393,3,,,57.27891027684507
range:long,Seq_weber,132.45303584492854,0.3832902800144271,0.4881754616576104,0.7434350508653832,3,,0.41268955029087245,0.0
range:long,SeqGain_weber,133.75622519271568,0.19977623985178145,0.48986765416027667,0.7409771084944136,4,1.1906725550385417,0.5342318521401236,1.3031893477871392
range:long,Seq_basic,133.88309555235563,0.18749698394646183,0.47978583363940164,0.7556211479850299,3,,0.5036900746883902,1.430059707427091
range:long,SeqGain_basic,135.8828715380315,0.0689840119462539,0.4797881647136346,0.7556177620545769,4,1.0034330838308458,0.5061035131162803,3.429835693102973
range:long,Static_weber,137.18937621573025,0.03589587649288932,0.4420333252099805,0.8104573973673271,3,,0.22654319378421564,4.736340370801713
range:long,Linear_weber,137.18937621573355,0.03589587649283015,0.4420333486355412,0.8104573633412467,3,,,4.73634037080501
range:long,Static_basic,137.42752780229733,0.031866223828304584,0.4415700249692517,0.8111303499364785,3,,0.32881253373335223,4.974491957368798
range:long,Linear_basic,137.42752780229773,0.03186622382829825,0.4415700249692478,0.8111303499364841,3,,,4.974491957369196
range:long,StaticGain_weber,139.18937621573184,0.013205354984552728,0.44203334383398285,0.8104573703156032,4,1.109543334530024,0.3029053833859354,6.736340370803305
range:long,StaticGain_basic,139.42752780229736,0.011722928614200625,0.4415700249692516,0.8111303499364787,4,1.0535343853085082,0.3629182985837498,6.974491957368826
range:medium,Static_basic,91.94226644841797,0.3590091357711541,0.7585735831555316,0.32659587213024927,3,,0.18386111086329587,0.0
range:medium,Linear_basic,91.94226644841825,0.3590091357711031,0.7585735831555305,0.3265958721302507,3,,,2.8421709430404007e-13
range:medium,StaticGain_basic,93.94226644841794,0.1320720802429365,0.7585735831555318,0.32659587213024904,4,0.9738866873860922,0.16197757179068584,1.9999999999999716
range:medium,SeqGain_basic,94.40263137010976,0.104916560794552,0.7563404332230245,0.32961682385267255,4,0.8211136776928086,0.009900990099009901,2.4603649216917916
range:medium,Linear_weber,98.75872348169057,0.011883124915356364,0.7539399436216239,0.3328641486697165,3,,,6.816457033272599
range:medium,Static_weber,98.7587234816906,0.011883124915356194,0.7539399533826062,0.33286413546529336,3,,0.09872594757747984,6.816457033272627
range:medium,Seq_basic,99.2582618870114,0.009256723169973866,0.7205328810490859,0.3780564224846267,3,,0.017969220325394334,7.315995438593433
range:medium,StaticGain_weber,100.75872348169052,0.004371557353231835,0.7539399478699491,0.33286414292268385,4,0.9443210037622002,0.04558514540250087,8.816457033272556
range:medium,Seq_weber,100.76591944676127,0.0043558568282673895,0.7532211530990024,0.3338365112664978,3,,0.009900990099009901,8.823652998343306
range:medium,SeqGain_weber,101.35614934135816,0.003242700238068583,0.7512212583885376,0.33654192091333734,4,0.9056803614475545,0.009900990099009901,9.413882892940194
range:short,Static_weber,46.75722498530128,0.3645715147075851,0.8106369071787395,0.1601814903396567,3,,0.19146260842903967,0.0
range:short,Linear_weber,46.75722498530192,0.3645715147074685,0.8106369065007786,0.1601814909131412,3,,,6.394884621840902e-13
range:short,StaticGain_weber,48.757224985301214,0.13411836509765696,0.8106369083664865,0.1601814893349462,4,2.36269199139231,0.6577897471553761,1.999999999999936
range:short,SeqGain_weber,48.873273139403054,0.1265577410008556,0.8118775149315386,0.15913206515437067,4,0.8140463909571669,0.009900990099009901,2.116048154101776
range:short,Seq_weber,56.468854710223084,0.002837455980523589,0.8033167084477633,0.16637361745820248,3,,0.11479623147193031,9.711629724921806
range:short,Linear_basic,56.94443710375604,0.0022369574749018938,0.808262784411456,0.16218975138697558,3,,,10.18721211845476
range:short,Static_basic,56.94443710375609,0.0022369574749018383,0.8082627844114558,0.1621897513869758,3,,0.3122065148899802,10.18721211845481
range:short,SeqGain_basic,57.13219955271455,0.0020365057019295077,0.8150878190707954,0.1564164815957777,4,0.7397034021264967,0.09826690096829144,10.374974567413275
range:short,StaticGain_basic,58.9444371037565,0.0008229306657909994,0.8082627844114562,0.16218975138697553,4,0.9652375623187495,0.2874360729274562,12.187212118455221
range:short,Seq_basic,67.75360572436183,1.0057188386126757e-05,0.7619908453934305,0.20133100136544485,3,,0.3101953267747941,20.996380739060555
