scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,StaticGain_weber,266.1591567222604,0.9985626871889864,0.9135173603467931,0.46675960105521597,4,1.241701906671962,0.28739749118932584,0.0
overall,StaticGain_basic,279.24624005497833,0.0014373128097234149,0.9338241347290474,0.3571609353878944,4,1.2884423859414549,0.48743253532044367,13.087083332717953
overall,Linear_weber,322.09944794982994,7.113698194067455e-13,0.862214261337054,0.74365001655023,3,,,55.94029122756956
overall,SeqGain_weber,322.89078701733683,4.789148908071178e-13,0.8660140379304518,0.7231420601101243,4,1.1040399875164024,0.04352422022665061,56.73163029507646
overall,Static_weber,326.05221889583356,9.857394344179696e-14,0.8728979045525259,0.6859888135033939,3,,0.11516012314408716,59.893062173573185
overall,Seq_weber,334.5927729494987,1.3778577453297856e-15,0.8570145034331437,0.7717138792462028,3,,0.009900990099009901,68.4336162272383
overall,Static_basic,349.3563157978988,8.577125914058647e-19,0.8929763688646655,0.5776223710622704,3,,0.3395863690760658,83.19715907563841
overall,SeqGain_basic,376.7070061251713,9.867675130979358e-25,0.8732705798105204,0.6839774299998124,4,1.1287857667673737,0.24439053621815085,110.54784940291091
overall,Linear_basic,384.4873905027125,2.0170926266215446e-26,0.864732158160505,0.7300605548787907,3,,,118.32823378045214
overall,Seq_basic,384.8667019752488,1.668627520662375e-26,0.8643896676822753,0.7319090266602338,3,,0.11092462828647616,118.70754525298844
range:long,Static_basic,69.00325170839531,0.2674888587350807,0.4010855612759914,0.2064262584608858,3,,0.6883969650358632,0.0
range:long,Linear_basic,69.00325170839827,0.26748885873468536,0.4010855612759546,0.20642625846089846,3,,,2.9558577807620168e-12
range:long,Static_weber,70.89298057483387,0.10398155032272073,0.3912675271985674,0.20981021434674157,3,,0.7327867375498887,1.8897288664385599
range:long,Linear_weber,70.89298057484862,0.10398155032195382,0.39126753410532633,0.2098102119662072,3,,,1.8897288664533107
range:long,StaticGain_basic,71.00325170839602,0.09840365187101341,0.4010855612759816,0.20642625846088916,4,1.5038220856797426,0.7927926370047186,2.0000000000007105
range:long,SeqGain_basic,71.25248360530259,0.08687427577319662,0.39809273676652257,0.20745778738350773,4,0.3127772264253418,0.009900990099009901,2.2492318969072755
range:long,StaticGain_weber,72.89298057483248,0.03825267462488935,0.39126753315731333,0.20981021229295635,4,1.7087932271974529,0.843624554612669,3.889728866437167
range:long,SeqGain_weber,73.15661119762066,0.03352857871989215,0.3877614744379212,0.2110186362957742,4,0.26805299329111154,0.009900990099009901,4.153359489225352
range:long,Seq_basic,108.17489628796477,8.342402772152903e-10,-0.31100806994677965,0.4518616904072518,3,,0.9900990099009901,39.17164457956946
range:long,Seq_weber,113.36312929002526,6.232763843526683e-11,-0.46219235028636385,0.5039699771853963,3,,0.9900990099009901,44.359877581629945
range:medium,Static_weber,89.74452136915589,0.34758593162915113,0.7193629069699597,0.3487112000695716,3,,0.21599107056934333,0.0
range:medium,Linear_weber,89.74452136915956,0.347585931628514,0.7193629000197408,0.34871120870570443,3,,,3.666400516522117e-12
range:medium,StaticGain_weber,91.74452136915694,0.12786971828672003,0.7193629032549762,0.3487112046856982,4,2.0621436615826316,0.6198088061686873,2.0000000000010516
range:medium,SeqGain_weber,92.47394990476175,0.08879209732017157,0.7137723952834895,0.35565780152607734,4,0.7876116770669986,0.009900990099009901,2.7294285356058623
range:medium,Static_basic,94.46267439776705,0.03284946325057605,0.7235721134984243,0.3434809668027081,3,,0.23606994683603677,4.718153028611155
range:medium,Linear_basic,94.46267439776823,0.032849463250556675,0.7235721134984179,0.34348096680271617,3,,,4.718153028612335
range:medium,StaticGain_basic,96.46267439776713,0.01208464218340323,0.7235721134984241,0.34348096680270856,4,2.2711525068085847,0.6636377229553531,6.7181530286112405
range:medium,SeqGain_basic,97.26895389535514,0.008075184011080622,0.7190784163668054,0.34906469952526853,4,0.7673265013598976,0.009900990099009901,7.524432526199249
range:medium,Seq_weber,99.87306159352174,0.002196229019316355,0.6769448793326798,0.40141856374083384,3,,0.009900990099009901,10.12854022436585
range:medium,Seq_basic,105.83688901040182,0.00011133942051048181,0.6529620045640375,0.4312189616547199,3,,0.009900990099009901,16.09236764124593
range:short,Static_basic,7.163612234975725,0.2782520191287978,0.9506450196810908,0.05992839646258971,3,,0.10631744210097448,0.0
range:short,Linear_basic,7.163612234976438,0.27825201912869857,0.9506450196810902,0.05992839646259052,3,,,7.132072710192006e-13
range:short,Linear_weber,9.079402530653397,0.10676520726930812,0.9504545283114839,0.06015969717929027,3,,,1.915790295677672
range:short,Static_weber,9.143342874384174,0.10340589033619066,0.9505087953612381,0.06009380439093318,3,,0.0,1.9797306394084497
range:short,StaticGain_basic,9.1636122349758,0.10236319730192381,0.9506450196810908,0.05992839646258972,4,1.2195800115605195,0.2672210533967778,2.0000000000000746
range:short,StaticGain_weber,11.079402530653311,0.03927672478678795,0.9504545284939648,0.06015969695771615,4,1.5606394495251212,0.35427055810492775,3.9157902956775867
range:short,SeqGain_basic,11.13850185736765,0.03813309100376174,0.9486565962449517,0.06234280382829979,4,0.8992606114466438,0.009900990099009901,3.9748896223919257
range:short,Seq_weber,11.16156605620256,0.03769586233500077,0.9478544308967318,0.06331681866339947,3,,0.009900990099009901,3.997953821226835
range:short,SeqGain_weber,12.966036125079839,0.015291778050015921,0.9479280235792048,0.06322746007337494,4,1.0139181949514724,0.009900990099009901,5.802423890104114
range:short,Seq_basic,19.565321903176816,0.0005642106595147052,0.9367514076219245,0.07679846482041527,3,,0.009900990099009901,12.401709668201091
