scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,566.738094610523,0.9444060445886644,3.735546554117786e-05,2.46053030453359,3,,,0.0
overall,Linear_weber,572.4030623985047,0.05559383487992479,-0.004829521734564857,2.4725058507249975,3,,,5.664967787981709
overall,SeqGain_weber,599.8615881458413,6.060152125329685e-08,-0.19617625992858212,2.943337886874934,4,0.155527271428804,0.9900990099009901,33.12349353531829
overall,StaticGain_weber,600.8107371307108,3.770322005911694e-08,-0.20748057617646265,2.9711535386414964,4,0.1571322441373583,1.0,34.07264252018774
overall,SeqGain_basic,602.4171574747486,1.6886852008827983e-08,-0.2516838559859167,3.0799211112357456,4,0.4646152254539322,0.9900990099009901,35.67906286422556
overall,StaticGain_basic,604.7198451668088,5.339817548635288e-09,-0.2710470134707188,3.1275665268352384,4,0.46778310105993953,0.9902902001087688,37.98175055628576
overall,Seq_basic,677.513850100924,8.327393535488638e-25,-1.0927263308830892,5.149408914800504,3,,0.9900990099009901,110.77575549040091
overall,Static_basic,677.8996451105272,6.866489607721413e-25,-1.0981156810260582,5.162670069525629,3,,0.9954582917156924,111.16155050000418
overall,Static_weber,883.6439540218317,1.4451926545094255e-69,-7.288843164026561,20.39571168591851,3,,1.0,316.9058594113087
overall,Seq_weber,884.8259072675836,8.003277199354705e-70,-7.121226207863771,19.9832696787631,3,,0.9900990099009901,318.08781265706057
range:long,Seq_basic,185.37916094105964,0.470467157247979,0.10701348833232427,2.1163780326523915,3,,0.9900990099009901,0.0
range:long,SeqGain_basic,187.04154987171248,0.20490197362299828,0.11302281995423935,2.102135916708453,4,1.299686895294463,0.9900990099009901,1.6623889306528383
range:long,Seq_weber,187.69962109925928,0.1474510230546514,0.08613245372158995,2.165866084679832,3,,0.9900990099009901,2.320460158199637
range:long,SeqGain_weber,189.44187532682918,0.06170524650350313,0.09514024115435082,2.1445176284641887,4,0.8321653370665222,0.9900990099009901,4.062714385769539
range:long,Static_basic,190.46339302470105,0.037025620199053824,0.01143329840662366,2.342903082776302,3,,0.8620432097838413,5.08423208364141
range:long,Linear_basic,190.4633930247011,0.03702562019905277,0.011433298406623327,2.342903082776303,3,,,5.084232083641467
range:long,StaticGain_basic,192.4633930247038,0.013620964467835213,0.011433298406586245,2.342903082776391,4,1.8815155516055964,0.9266778561332804,7.084232083644167
range:long,Static_weber,192.7603585395761,0.011741473920311525,0.0042482047171117365,2.3599317548204453,3,,0.9078873248500668,7.381197598516451
range:long,Linear_weber,192.7603585395812,0.01174147392028149,0.004248221111979977,2.3599317159646076,3,,,7.381197598521567
range:long,StaticGain_weber,194.76035853957606,0.004319446864333329,0.0042482061688592365,2.3599317513798037,4,1.7533421890890641,0.9474645441380162,9.381197598516422
range:medium,Linear_basic,195.01760090017126,0.29029944849028033,0.006224792700592174,2.566325095329991,3,,,0.0
range:medium,Static_basic,195.32981327514193,0.24834198890401796,-2.220446049250313e-16,2.5824000000000007,3,,1.0,0.3122123749706702
range:medium,Linear_weber,196.29410377442494,0.15334059127693525,-0.001690599421799055,2.586765803946854,3,,,1.27650287425368
range:medium,Static_weber,196.66485530730273,0.12739414286010045,-0.005371146392435744,2.5962704484438266,3,,1.0,1.64725440713147
range:medium,StaticGain_basic,197.32981327514216,0.09135991209740427,-1.1102230246251565e-15,2.5824000000000034,4,0.8683881340129084,1.0,2.3122123749708976
range:medium,StaticGain_weber,198.66485530730267,0.046865686083889975,-0.005371148766122769,2.5962704545736357,4,1.701165601246893,1.0,3.6472544071314132
range:medium,Seq_basic,200.28960050687076,0.02079917178502107,-0.10428243576629637,2.851698962122884,3,,0.9900990099009901,5.271999606699495
range:medium,SeqGain_basic,201.20518292134375,0.01315921088100974,-0.08059022115044101,2.7905161870988993,4,0.8511336077809587,0.9900990099009901,6.187582021172489
range:medium,SeqGain_weber,202.0953592606765,0.008431998306726404,-0.07347764336046048,2.7721486662140533,4,0.3003075268751552,0.9900990099009901,7.077758360505243
range:medium,Seq_weber,216.05408496512584,7.84931461460595e-06,-0.48975249024875467,3.847136830818384,3,,0.9900990099009901,21.03648406495458
range:short,Linear_basic,192.1678956215672,0.44541678025960457,0.00010321974548144208,2.4241497540490546,3,,,0.0
range:short,Linear_weber,194.13433627534985,0.16663238553472878,-0.00453357655945541,2.4353912030107434,3,,,1.966440653782655
range:short,Static_weber,194.17224875246933,0.16350341275623503,-0.005033958698958951,2.436604329469756,3,,1.0,2.004353130902132
range:short,StaticGain_basic,194.17305687521707,0.16343736068808754,-2.886579864025407e-15,2.424400000000007,4,2.5373205648633306,1.0,2.0051612536498737
range:short,StaticGain_weber,196.1722487524692,0.06014954411439169,-0.005033953978463401,2.4366043180253865,4,2.047779198084282,1.0,4.00435313090199
range:short,SeqGain_basic,204.66662580231622,0.0008604027704162328,-0.23351939269017818,2.990544415638068,4,2.056130851364138,0.9900990099009901,12.498730180749021
range:short,SeqGain_weber,222.55229497294974,1.1242893250568068e-07,-0.7161872939580656,4.160724475471934,4,0.785730476335637,0.9900990099009901,30.38439935138254
range:short,Seq_weber,231.25711856691288,1.4476036208593902e-09,-1.1895073451256737,5.3082416075226835,3,,0.9900990099009901,39.08922294534568
range:short,Seq_basic,280.2661162979057,3.299749879229021e-20,-4.823265509224749,14.11792490056448,3,,0.9900990099009901,88.09822067633849
range:short,Static_basic,281.4318212715382,1.842262037200727e-20,-4.960624681555909,14.450938477964145,3,,1.0,89.26392564997099
