scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,644.7477375715877,0.9877823301084011,0.04431455438799181,4.138946074567381,3,,,0.0
overall,Linear_weber,653.532895792409,0.01221766981522955,0.03004684317967199,4.20073762697605,3,,,8.785158220821359
overall,StaticGain_weber,692.5130128783708,4.1933731189311534e-11,-0.259681864576057,5.455513979552102,4,0.14114187781664797,1.0,47.76527530678311
overall,SeqGain_weber,694.0262635728769,1.967729033906828e-11,-0.27492077037164675,5.521511646057285,4,0.13884885018405535,0.9900990099009901,49.278526001289265
overall,StaticGain_basic,694.9688820008189,1.2282260457842764e-11,-0.3180427147714424,5.708267030185743,4,0.4261818185595407,1.0,50.22114442923123
overall,SeqGain_basic,698.1719987058545,2.475884311133373e-12,-0.34649100868480853,5.831472793087639,4,0.41656820926473437,0.9900990099009901,53.424261134266885
overall,Static_basic,756.4722833312773,5.419814153513344e-25,-1.0127538383309496,8.716968157755565,3,,1.0,111.72454575968959
overall,Seq_basic,763.2406868769067,1.837571468965026e-26,-1.1056549176272847,9.119310329274567,3,,0.9900990099009901,118.49294930531903
overall,Static_weber,921.4705384877662,8.036529175425696e-61,-4.9811100978161065,25.903389315569427,3,,1.0,276.7228009161786
overall,Seq_weber,925.6207834432519,1.0089143155956697e-61,-5.080889961909339,26.335522585680163,3,,0.9900990099009901,280.8730458716642
range:long,Static_basic,223.3491708345997,0.20761821998753677,0.000422735793909057,4.522687289626878,3,,0.9633471695907178,0.0
range:long,Linear_basic,223.3491708346001,0.20761821998749544,0.0004227357939073917,4.522687289626886,3,,,3.979039320256561e-13
range:long,Static_weber,223.82263902493628,0.16385253019124194,-0.01003658831791987,4.57001154750326,3,,0.9720208828545664,0.4734681903365754
range:long,Linear_weber,223.8226390249389,0.16385253019102772,-0.010036589688756425,4.570011553705747,3,,,0.4734681903391902
range:long,StaticGain_basic,225.34917083460104,0.07637847474597358,0.0004227357939063925,4.522687289626891,4,2.33473558005064,0.98430108802118,2.000000000001336
range:long,StaticGain_weber,225.82263902493634,0.06027797724127925,-0.010036593986492814,4.570011573151285,4,1.8267615505601407,0.9846837545998708,2.4734681903366322
range:long,SeqGain_basic,226.08713299130739,0.05281101751277141,-0.014439677213640145,4.589933763520835,4,0.2558423297313174,0.10536744858442924,2.737962156707681
range:long,SeqGain_weber,226.37095596970298,0.04582401711175404,-0.02169977675420487,4.622782809902075,4,0.1,0.9873162651035241,3.021785135103272
range:long,Seq_basic,228.168814575365,0.018650613517519756,-0.10072609636121799,4.980345295595966,3,,0.9900990099009901,4.819643740765287
range:long,Seq_weber,231.74721599256026,0.0031163995134000683,-0.18748366267863714,5.372888580155761,3,,0.9900990099009901,8.398045157960553
range:medium,Linear_basic,216.55621452574368,0.30317227753223447,0.0023658816250820003,3.9481504316712885,3,,,0.0
range:medium,Static_basic,216.674648763,0.28574051192699196,-3.552713678800501e-15,3.957513440000014,3,,1.0,0.11843423725630942
range:medium,Linear_weber,218.225024454045,0.13161700824140066,-0.00432012071126997,3.974610375777273,3,,,1.6688099283013287
range:medium,Static_weber,218.36903072371288,0.12247330864877556,-0.008264054192798964,3.9902185455368895,3,,1.0,1.8128161979691981
range:medium,StaticGain_basic,218.67464876299988,0.10511805984774962,-2.220446049250313e-16,3.95751344,4,2.049997762193517,1.0,2.1184342372561957
range:medium,StaticGain_weber,220.36903072371288,0.04505541234412913,-0.008264052678734535,3.9902185395449594,4,1.491932498642589,1.0,3.812816197969198
range:medium,Seq_basic,225.92924230798704,0.0027948748396783817,-0.2033289859662757,4.762190634703107,3,,0.9900990099009901,9.373027782243355
range:medium,SeqGain_weber,226.57763536122863,0.002020996686538524,-0.1512622931547578,4.556135998125174,4,0.3004667988451916,0.9900990099009901,10.021420835484946
range:medium,SeqGain_basic,226.59207047208568,0.002006462544514395,-0.17157434014415984,4.636521197079643,4,0.8600732452476121,0.9900990099009901,10.035855946341997
range:medium,Seq_weber,241.63277055980197,1.087387987417302e-06,-0.6349393208563505,6.470294335873479,3,,0.9900990099009901,25.076556034058285
range:short,Linear_basic,212.50140282291107,0.5625150973959201,4.380147561877656e-06,3.640609053525283,3,,,0.0
range:short,StaticGain_basic,214.50140282291096,0.2069377396805223,4.380147563542991e-06,3.640609053525277,4,3.074079017120027,0.9989194602157528,1.9999999999998863
range:short,Linear_weber,216.0232228426559,0.09668980460570849,-0.007698191001485943,3.668651226614785,3,,,3.521820019744837
range:short,Static_weber,216.02322284265605,0.09668980460570162,-0.007698180876196226,3.6686511897524023,3,,0.9951166399066995,3.521820019744979
range:short,StaticGain_weber,218.02322284265634,0.0355701912853164,-0.007698198509968668,3.6686512539503555,4,3.890544559017465,0.998744802106434,5.521820019745263
range:short,SeqGain_basic,224.23174600676285,0.0015955944801244704,-0.21482797635273831,4.422733101409189,4,2.205739329404002,0.9900990099009901,11.730343183851772
range:short,SeqGain_weber,237.98672994900264,1.64462055091031e-06,-0.5753675664061768,5.735322546447488,4,0.8212464143490393,0.9900990099009901,25.485327126091562
range:short,Seq_weber,243.1675948483173,1.233261557672013e-07,-0.8646439042920229,6.788469214063147,3,,0.9900990099009901,30.666192025406218
range:short,Seq_basic,294.9205505818692,7.12924673770184e-19,-4.198543940954645,18.925949035038006,3,,0.9900990099009901,82.4191477589581
range:short,Static_basic,295.8116343136905,4.566119484380936e-19,-4.292021186065448,19.266264630519522,3,,0.9966786012351871,83.31023149077942
