scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_weber,299.19333755419984,0.5964786736318481,0.8544627807470806,0.6297772942405678,3,,,0.0
overall,StaticGain_weber,301.19333755419404,0.21943224112700357,0.8544627776824357,0.6297773075020808,4,1.0522675772737116,0.0,1.999999999994202
overall,SeqGain_weber,302.66850909988716,0.104947236627878,0.8541854882373581,0.6309772108487223,4,1.054836910196845,0.009900990099009901,3.475171545687317
overall,Static_weber,303.8972811460851,0.05677361496019004,0.8609066987868859,0.6018927895877473,3,,0.0,4.703943591885263
overall,Seq_weber,305.76014090758287,0.0223682336495807,0.8607399615743683,0.6026143047512744,3,,0.009900990099009901,6.566803353383023
overall,Static_basic,353.0629142721633,1.1966439930736049e-12,0.8631758431132399,0.5920736135623411,3,,0.09006135638814187,53.86957671796347
overall,Linear_basic,353.6660468453916,8.851082542629084e-13,0.8626245815377556,0.5944590653746639,3,,,54.472709291191734
overall,StaticGain_basic,354.6479520560564,5.417243828623006e-13,0.8635538324036605,0.5904379558673889,4,0.9751551084437994,0.06687818842891612,55.454614501856554
overall,Seq_basic,354.81078678850594,4.993663462311302e-13,0.8615721766878722,0.5990130941118311,3,,0.054289947398143835,55.61744923430609
overall,SeqGain_basic,355.3750584256576,3.76607740102936e-13,0.8628908209185473,0.5933069785221323,4,0.9591914131137923,0.028579662174821642,56.18172087145774
range:long,Seq_weber,115.00329574490904,0.7238917136282135,0.5260415171535604,0.7151256214240905,3,,0.44720493650352233,0.0
range:long,SeqGain_weber,116.99325239119986,0.2676455394900846,0.526466950036798,0.7144837129742779,4,1.0154481211923585,0.45579136299883855,1.9899566462908211
range:long,Static_weber,125.68594550612241,0.0034670945362484727,0.4376504826190951,0.848493196406935,3,,0.31903653114154107,10.68264976121337
range:long,Linear_weber,125.68594550612576,0.0034670945362426583,0.4376504706097448,0.8484932145270752,3,,,10.682649761216723
range:long,StaticGain_weber,127.6859455061223,0.0012754728004837216,0.4376504749413985,0.8484932079913201,4,2.087239024639808,0.6737492282180828,12.682649761213256
range:long,Seq_basic,131.61560049749636,0.00017879586160329304,0.5214064350139322,0.7221192002193186,3,,0.4584711837108216,16.61230475258732
range:long,SeqGain_basic,133.55122883433657,6.792679279152184e-05,0.5220221958288234,0.7211901181344215,4,1.0480968616174644,0.4846316295754573,18.54793308942753
range:long,Static_basic,140.01128256599767,2.686941835656685e-06,0.4339030398262722,0.8541474730006868,3,,0.3218894925603142,25.007986821088636
range:long,Linear_basic,140.0112825660011,2.686941835652065e-06,0.433903039826244,0.8541474730007294,3,,,25.007986821092075
range:long,StaticGain_basic,142.01128256599733,9.884706609617193e-07,0.43390303982627487,0.8541474730006828,4,0.7665695484347242,0.11539603634133987,27.007986821088295
range:medium,Static_weber,97.95383118182632,0.16177586536577215,0.7786458442582964,0.37052291504612667,3,,0.0726661351454484,0.0
range:medium,Linear_weber,97.95383118182714,0.16177586536570548,0.7786458417136619,0.37052291930556974,3,,,8.242295734817162e-13
range:medium,Static_basic,97.99881848868738,0.15817755639107098,0.7797632235762523,0.3686525429236156,3,,0.07955607191150238,0.044987306861060006
range:medium,Linear_basic,97.9988184886902,0.15817755639084732,0.7797632235762395,0.368652542923637,3,,,0.044987306863887966
range:medium,Seq_weber,99.33208753782584,0.08121367563384314,0.7731988412068833,0.3796406090063422,3,,0.009900990099009901,1.3782563559995253
range:medium,Seq_basic,99.65107678612156,0.069240713014124,0.7723638797973258,0.3810382440965154,3,,0.009900990099009901,1.6972456042952473
range:medium,StaticGain_weber,99.95383118182599,0.05951401494579648,0.778645844637216,0.3705229144118565,4,1.1220816249016905,0.17355932390147413,1.9999999999996732
range:medium,StaticGain_basic,99.9988184886878,0.05819027105099909,0.7797632235762507,0.3686525429236182,4,1.0531207948388532,0.12598452854043676,2.0449873068614863
range:medium,SeqGain_weber,100.39589826058008,0.04771177824292943,0.7751449865004847,0.37638297227992856,4,0.9328388825589435,0.009900990099009901,2.442067078753766
range:medium,SeqGain_basic,100.54777821548828,0.04422270359891189,0.7773318784818846,0.3727223516373018,4,0.9259736037177105,0.009900990099009901,2.593947033661962
range:short,Linear_weber,60.61311455769606,0.6377820413013041,0.816158013844976,0.4117075096826747,3,,,0.0
range:short,StaticGain_weber,62.613114557700136,0.23462690094262703,0.8161580171561412,0.4117075022674394,4,2.470212437730809,0.5243756757366714,2.0000000000040785
range:short,SeqGain_weber,63.874170780501615,0.12489438816772892,0.8115340147069822,0.4220627892882429,4,1.1818589072215921,0.009900990099009901,3.261056222805557
range:short,Static_weber,72.26529923622462,0.0018811894400436414,0.7916004359337661,0.4667033213420247,3,,0.0,11.652184678528563
range:short,Seq_weber,73.93706670262317,0.0008154791082828058,0.7853281524726491,0.48074987435099137,3,,0.009900990099009901,13.323952144927112
range:short,Linear_basic,102.5016560348048,5.113179946142919e-10,0.8198707260460483,0.4033930243660125,3,,,41.88854147710874
range:short,StaticGain_basic,104.50165603477473,1.881033781224364e-10,0.8198707260460869,0.40339302436592606,4,2.2661578049530435,0.5026319981247833,43.88854147707867
range:short,SeqGain_basic,105.17193964837575,1.345384307253563e-10,0.8174397137626239,0.4088371888582991,4,1.1336529744665673,0.009900990099009901,44.5588250906797
range:short,Static_basic,105.31554232111425,1.2521704006488922e-10,0.8094427817995735,0.42674603010000006,3,,0.0,44.70242776341819
range:short,Seq_basic,106.19077847095556,8.083665205675845e-11,0.806077764556536,0.43428186507516164,3,,0.009900990099009901,45.57766391325951
