correct,response,input_value,range_category,trial,stimulus_id
2.4622,1.77,2.4622,short,0,0
4.8023,2.62,4.8023,short,1,1
4.0078,2.18,4.0078,short,2,2
3.4004,2.13,3.4004,short,3,3
1.5,1.12,1.5,short,4,4
1.6771,1.25,1.6771,short,5,5
1.25,0.64,1.25,short,6,6
4.3732,2.13,4.3732,short,7,7
3.4004,2.5,3.4004,short,8,8
3.8243,2.44,3.8243,short,9,9
2.4622,1.1637773372913942,2.4622,short,10,0
4.8023,3.415478963747079,4.8023,short,11,1
4.0078,2.417794637610324,4.0078,short,12,2
3.4004,2.615440188708977,3.4004,short,13,3
1.5,1.0307764064099427,1.5,short,14,4
1.6771,1.2909944487358056,1.6771,short,15,5
1.25,0.5590169943544879,1.25,short,16,6
4.3732,2.5,4.3732,short,17,7
3.4004,2.0615528128088303,3.4004,short,18,8
3.8243,1.8027756377319946,3.8243,short,19,9
2.4622,0.75,2.4622,short,20,0
4.8023,2.8,4.8023,short,21,1
4.0078,2.75,4.0078,short,22,2
3.4004,0.75,3.4004,short,23,3
1.5,1.25,1.5,short,24,4
1.6771,1.3125,1.6771,short,25,5
1.25,0.75,1.25,short,26,6
4.3732,1.8125,4.3732,short,27,7
3.4004,2.125,3.4004,short,28,8
3.8243,2.0625,3.8243,short,29,9
2.4622,0.8718,2.4622,short,30,0
4.8023,2.1541,4.8023,short,31,1
4.0078,2.2913,4.0078,short,32,2
3.4004,1.118,3.4004,short,33,3
1.5,1.118,1.5,short,34,4
1.6771,1.4565,1.6771,short,35,5
1.25,0.75,1.25,short,36,6
4.3732,1.7411,4.3732,short,37,7
3.4004,2.2913,3.4004,short,38,8
3.8243,2.0616,3.8243,short,39,9
2.4622,0.937262,2.4622,short,40,0
4.8023,2.853904,4.8023,short,41,1
4.0078,2.553904,4.0078,short,42,2
3.4004,1.655295,3.4004,short,43,3
1.5,1.030776,1.5,short,44,4
1.6771,1.339747,1.6771,short,45,5
1.25,0.707107,1.25,short,46,6
4.3732,2.565145,4.3732,short,47,7
3.4004,2.553904,3.4004,short,48,8
3.8243,2.653295,3.8243,short,49,9
4.423,1.5,4.423,medium,0,0
6.8648,1.25,6.8648,medium,1,1
5.8363,1.25,5.8363,medium,2,2
5.3502,1.5,5.3502,medium,3,3
3.5532,1.5,3.5532,medium,4,4
3.5089,1.25,3.5089,medium,5,5
3.1623,1.0,3.1623,medium,6,6
6.5192,2.0,6.5192,medium,7,7
5.3502,1.5,5.3502,medium,8,8
5.8149,1.5,5.8149,medium,9,9
4.423,2.5,4.423,medium,10,0
6.8648,2.5,6.8648,medium,11,1
5.8363,2.0,5.8363,medium,12,2
5.3502,1.5,5.3502,medium,13,3
3.5532,2.0,3.5532,medium,14,4
3.5089,1.75,3.5089,medium,15,5
3.1623,1.5,3.1623,medium,16,6
6.5192,2.5,6.5192,medium,17,7
5.3502,2.5,5.3502,medium,18,8
5.8149,2.5,5.8149,medium,19,9
4.423,1.0527,4.423,medium,20,0
6.8648,1.7426,6.8648,medium,21,1
5.8363,1.9467,5.8363,medium,22,2
5.3502,1.741,5.3502,medium,23,3
3.5532,2.0494,3.5532,medium,24,4
3.5089,2.0494,3.5089,medium,25,5
3.1623,1.25,3.1623,medium,26,6
6.5192,2.6308,6.5192,medium,27,7
5.3502,2.6308,5.3502,medium,28,8
5.8149,2.8461,5.8149,medium,29,9
4.423,1.8027756377319946,4.423,medium,30,0
6.8648,2.9154759474226504,6.8648,medium,31,1
5.8363,1.562049938596205,5.8363,medium,32,2
5.3502,2.291290999393863,5.3502,medium,33,3
3.5532,2.291290999393863,3.5532,medium,34,4
3.5089,1.6552945356726236,3.5089,medium,35,5
3.1623,1.0307764064099707,3.1623,medium,36,6
6.5192,2.951306940502974,6.5192,medium,37,7
5.3502,3.0983870966830684,5.3502,medium,38,8
5.8149,3.03315018972325,5.8149,medium,39,9
4.423,1.65,4.423,medium,40,0
6.8648,1.89,6.8648,medium,41,1
5.8363,1.06,5.8363,medium,42,2
5.3502,2.0,5.3502,medium,43,3
3.5532,1.72,3.5532,medium,44,4
3.5089,1.5,3.5089,medium,45,5
3.1623,1.06,3.1623,medium,46,6
6.5192,2.44,6.5192,medium,47,7
5.3502,1.89,5.3502,medium,48,8
5.8149,2.31,5.8149,medium,49,9
6.408,1.960636684643651,6.408,long,0,0
8.6783,2.692582403567252,8.6783,long,1,1
7.9451,1.7346263641552633,7.9451,long,2,2
7.2887,1.4786211998604666,7.2887,long,3,3
5.5509,1.5811388300841898,5.5509,long,4,4
5.7009,2.2803508501989014,5.7009,long,5,5
5.2202,2.23606797749979,5.2202,long,6,6
8.5147,3.54249072158318,8.5147,long,7,7
7.433,3.5803719395595395,7.433,long,8,8
7.8302,3.1622776601683795,7.8302,long,9,9
6.408,1.80277564,6.408,long,10,0
8.6783,3.122498999,8.6783,long,11,1
7.9451,3.535533906,7.9451,long,12,2
7.2887,2.5,7.2887,long,13,3
5.5509,2.061552813,5.5509,long,14,4
5.7009,2.291290994,5.7009,long,15,5
5.2202,2.291290994,5.2202,long,16,6
8.5147,3.35410197,8.5147,long,17,7
