scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Linear_basic,267.02489426844056,0.47226386840532736,0.3698004302325838,0.33363386341224,3,,,0.0
overall,StaticGain_basic,269.0248942684446,0.17373616799406483,0.3698004302325685,0.3336338634122481,4,0.21799536072113812,0.0,2.000000000004036
overall,SeqGain_basic,269.2082192058689,0.158519149633524,0.3690297507346445,0.33404186873418107,4,0.2183466225389978,0.009900990099009901,2.183324937428324
overall,Linear_weber,269.8447036309899,0.11531104212494968,0.37287840910287784,0.3320043510620865,3,,,2.8198093625493357
overall,StaticGain_weber,271.8447036309896,0.04242056173782916,0.37287841151615464,0.33200434978447396,4,0.5404446332622497,0.0,4.8198093625490515
overall,SeqGain_weber,272.07804091148967,0.037749210104279805,0.3716368848191468,0.3326616262542199,4,0.5414053286064481,0.009900990099009901,5.053146643049104
overall,Static_weber,328.52562509155047,2.0867513610655393e-14,0.07364441293466661,0.4904217778507608,3,,0.23584414834437523,61.500730823109905
overall,Seq_weber,331.69621584764764,4.2754877905655746e-15,0.061346889129861415,0.4969322081560613,3,,0.1723684842898233,64.67132157920707
overall,Static_basic,548.7160059051361,3.2043284643400566e-62,-3.121519936247198,2.1819732754946397,3,,0.6756368910127954,281.6911116366955
overall,Seq_basic,558.5059463076169,2.3981617962495962e-64,-3.3994884811267987,2.329132562781184,3,,0.9321311011676814,291.48105203917635
range:long,Static_basic,102.74176694871888,0.36545177640956494,0.18619377938724513,0.40533486455956785,3,,0.7447815041191599,0.0
range:long,Linear_basic,102.74176694872182,0.36545177640902743,0.18619377938719772,0.4053348645595915,3,,,2.9416469260468148e-12
range:long,StaticGain_basic,104.74176694873324,0.13444219527969586,0.18619377938701198,0.405334864559684,4,0.4352205381613185,0.41358877646375397,2.000000000014367
range:long,SeqGain_basic,104.75134779377694,0.1337997004989466,0.18603782542003156,0.4054125410119922,4,0.25703398107600006,0.009900990099009901,2.0095808450580677
range:long,Static_weber,117.1984764331346,0.00026521342218054745,0.1567987662302638,0.41997572546100026,3,,0.36755321861717166,14.456709484415725
range:long,Linear_weber,117.19847643313582,0.00026521342218038536,0.1567987368243896,0.41997574010727073,3,,,14.456709484416947
range:long,Seq_weber,118.79315822070356,0.00011948537450322207,0.15111816152366497,0.4228050810017234,3,,0.13790526066077738,16.051391271984684
range:long,StaticGain_weber,119.1984764331347,9.756656554294075e-05,0.15679875943803534,0.4199757288440255,4,0.755262237166137,0.16261298075735842,16.456709484415825
range:long,SeqGain_weber,119.21011018113383,9.700068056103351e-05,0.15632666623375246,0.4202108656986854,4,0.6364631643902089,0.009900990099009901,16.468343232414952
range:long,Seq_basic,123.74003992854367,1.0071937796778415e-05,-0.23853900112023307,0.6168827732636576,3,,0.9900990099009901,20.99827297982479
range:medium,Static_weber,77.91597873849643,0.2700164527107468,0.20594154013155352,0.26174475433626604,3,,0.4418024676781724,0.0
range:medium,Linear_weber,77.9159787384966,0.2700164527107238,0.20594153506977442,0.2617447560047756,3,,,1.7053025658242404e-13
range:medium,StaticGain_weber,79.91597873849645,0.09933350173032401,0.2059415314101719,0.261744757211087,4,1.1693916044468646,0.5226598850093589,2.000000000000014
range:medium,SeqGain_weber,79.93627030305662,0.0983307809434447,0.20521058307260864,0.26198569903428687,4,0.5617937266521849,0.009900990099009901,2.020291564560182
range:medium,Static_basic,80.23266889276928,0.08478662581985721,0.21607067688898451,0.25840589637277117,3,,0.7849878802301937,2.316690154272848
range:medium,Linear_basic,80.23266889277119,0.08478662581977647,0.21607067688895443,0.2584058963727811,3,,,2.3166901542747524
range:medium,StaticGain_basic,82.23266889276974,0.031191256525414157,0.21607067688897919,0.25840589637277295,4,0.8107811251954143,0.7348086564213143,4.316690154273303
range:medium,SeqGain_basic,82.25348802206956,0.030868253202774247,0.21574419440414727,0.258513514491723,4,0.21647818244391134,0.009900990099009901,4.337509283573127
range:medium,Seq_weber,82.2663728112904,0.030670026946196693,0.11580359046762856,0.2914568431603905,3,,0.42422289387509243,4.350394072793961
range:medium,Seq_basic,110.4222569437146,2.3590742036139193e-08,-0.43383882264779694,0.47263496248616926,3,,0.9631809399164302,32.506278205218166
range:short,SeqGain_basic,57.25799074159302,0.3328493716925845,0.7092207059206779,0.156810493326163,4,0.5756047626724686,0.16490759764826898,0.0
range:short,Linear_basic,57.73350292935121,0.2624167677478695,0.6944618085950367,0.16476962252726984,3,,,0.4755121877581914
range:short,Static_basic,57.733502929351225,0.26241676774786765,0.6944618085950365,0.16476962252726998,3,,0.49095843763180635,0.4755121877582056
range:short,StaticGain_basic,59.733502929351026,0.09653773387311132,0.6944618085950376,0.16476962252726943,4,0.59072687241468,0.13827931188944423,2.4755121877580066
range:short,Seq_weber,63.71965999644616,0.013155703922712859,0.7017111884709311,0.16086020099075,3,,0.16410704197258555,6.461669254853142
range:short,Linear_weber,64.05818473267591,0.01110719453702279,0.6861970519621309,0.16922661307376008,3,,,6.800193991082892
range:short,Static_weber,64.05818473267593,0.011107194537022712,0.686197057473062,0.16922661010184342,3,,0.14955228056210776,6.800193991082907
range:short,SeqGain_weber,65.20686822468262,0.0062541879343049455,0.6981866087094776,0.1627609246750511,4,0.9158348498096597,0.10475642108629446,7.948877483089603
range:short,StaticGain_weber,66.0581847326759,0.0040861085192624704,0.6861970532628867,0.1692266123722928,4,1.3787117616291347,0.383157710285076,8.800193991082878
range:short,Seq_basic,74.22155298553577,6.896948824126687e-05,0.5751076747699776,0.2291345239721397,3,,0.6385563888580512,16.963562243942746
