scope,model,aic,weight,r2,mse,k,gain,w_p,delta_aic
overall,Static_basic,252.2680256760098,0.6842339405206027,0.9246209716134045,0.30237411751460874,3,,0.18919564530749444,0.0
overall,StaticGain_basic,253.86360944068494,0.3081257550051833,0.9248239279136047,0.30155998215785806,4,1.017528295512204,0.2031628466566604,1.5955837646751263
overall,Seq_basic,262.78295431754003,0.0035638290998869023,0.9191473289917851,0.3243309918963546,3,,0.14394740328118763,10.514928641530219
overall,SeqGain_basic,263.85284104285324,0.0020873434773696167,0.9196471254192802,0.32232611723909943,4,0.9754141639439422,0.12713299158364985,11.58481536684343
overall,StaticGain_weber,264.7850532829158,0.0013096842452503402,0.9032599112716574,0.3880615017680344,4,1.149020598510334,0.087883626685044,12.51702760690597
overall,SeqGain_weber,267.60523578832283,0.00031972143475324406,0.9026138229475344,0.39065320918354046,4,1.1207127503097234,0.04583537740816926,15.337210112313016
overall,Linear_weber,267.783393370457,0.00029247269421734095,0.9002159809074471,0.400271870850182,3,,,15.515367694447207
overall,Linear_basic,270.72368484057387,6.723712660116748e-05,0.9147518149687245,0.341963080053946,3,,,18.455659164564054
overall,Static_weber,288.5712183061906,8.955018669527122e-09,0.9119601532071213,0.3531615032710083,3,,0.0,36.303192630180774
overall,Seq_weber,288.94160472305924,7.441116552845409e-09,0.9126674864111755,0.3503241192141625,3,,0.009900990099009901,36.67357904704943
range:long,SeqGain_basic,78.02380837816486,0.39970550750166145,0.7137031325439902,0.23754435875814994,4,0.802401860770516,0.3170436908150499,0.0
range:long,SeqGain_weber,79.087222304325,0.23486739578593385,0.721827884053202,0.23080314323429668,4,0.8143895645042236,0.2398485235723288,1.0634139261601376
range:long,Seq_basic,79.9438173322815,0.15304371012030848,0.690354080609309,0.25691738095961286,3,,0.4508259654943346,1.9200089541166392
range:long,Seq_weber,80.81436952647526,0.09903243973535128,0.703664611555721,0.24587345453983897,3,,0.3730134651307021,2.7905611483104025
range:long,Static_weber,82.7937994345748,0.0368086369183584,0.6665931570273844,0.27663213860234864,3,,0.3230290062354985,4.7699910564099355
range:long,Linear_weber,82.79379943459217,0.03680863691803854,0.6665931755905601,0.2766321232002324,3,,,4.769991056427315
range:long,StaticGain_weber,84.79379943457478,0.013541140779808307,0.66659316169036,0.2766321347334152,4,1.7403103691267665,0.6110056198249276,6.769991056409921
range:long,Static_basic,85.19830539339729,0.01106159873900344,0.6560421188850589,0.2853864767549888,3,,0.3816804135273132,7.174497015232433
range:long,Linear_basic,85.19830539340126,0.011061598738981512,0.6560421188850315,0.2853864767550115,3,,,7.174497015236398
range:long,StaticGain_basic,87.19830539340344,0.004069334762554796,0.6560421188850424,0.2853864767550025,4,0.6966588297524989,0.11245007934511296,9.174497015238586
range:medium,Static_weber,66.19334599086503,0.33163787793720073,0.8404694214250992,0.2162570296334238,3,,0.1556900880790115,0.0
range:medium,Linear_weber,66.19334599086514,0.3316378779371819,0.8404694196001714,0.21625703210726596,3,,,1.1368683772161603e-13
range:medium,StaticGain_weber,68.19334599086582,0.12200275720677187,0.8404694175381607,0.21625703490249365,4,1.3962641594613112,0.39530791505994206,2.000000000000796
range:medium,SeqGain_weber,69.25260554752762,0.0718380202755402,0.8358162819679853,0.2225647489838748,4,0.8487688701003475,0.009900990099009901,3.059259556662596
range:medium,Static_basic,69.84179373701168,0.05350738979969824,0.8451461058315762,0.2099173931366952,3,,0.1376544891577627,3.6484477461466582
range:medium,Linear_basic,69.84179373701275,0.05350738979966972,0.8451461058315728,0.20991739313669974,3,,,3.648447746147724
range:medium,StaticGain_basic,71.84179373701188,0.019684268658053564,0.8451461058315756,0.2099173931366961,4,2.341781891882188,0.6317566862449238,5.648447746146857
range:medium,SeqGain_basic,72.94092043266087,0.011361795139316386,0.8417043340153095,0.21458300242809764,4,0.8671108403711814,0.009900990099009901,6.747574441795848
range:medium,Seq_weber,75.47933244449624,0.0031932857990156953,0.8250832419620474,0.2371142815647464,3,,0.009900990099009901,9.28598645363121
range:medium,Seq_basic,76.82508636335038,0.0016293374475517088,0.8219351327544947,0.2413818066515895,3,,0.009900990099009901,10.631740372485353
range:short,Linear_weber,52.781696766382815,0.5136220964790142,0.799088249612151,0.3197614660074018,3,,,0.0
range:short,SeqGain_weber,53.91089819983391,0.2920389131098571,0.8030072166919002,0.3135242267407274,4,1.2070750645469606,0.04598590850698497,1.1292014334510938
range:short,StaticGain_weber,54.78169676638253,0.18895100982603125,0.7990882487716073,0.31976146734517064,4,1.1685125722066376,0.0,1.9999999999997158
range:short,Static_weber,63.028883357789795,0.0030584078756539512,0.7958658741010116,0.3248900436813266,3,,0.0,10.24718659140698
range:short,Seq_weber,63.573364374509616,0.0023295007404356503,0.7949979105465974,0.32627145267340746,3,,0.009900990099009901,10.7916676081268
range:short,Seq_basic,86.20524578294403,2.836692415099803e-08,0.8170388952491259,0.29119208291468646,3,,0.08551978679375837,33.42354901656122
range:short,Static_basic,87.62253245916337,1.3965367093935336e-08,0.8117785262181542,0.29956423292500844,3,,0.05451981703848649,34.84083569278055
range:short,Linear_basic,87.6225324591635,1.3965367093934443e-08,0.8117785262181532,0.29956423292501,3,,,34.84083569278068
range:short,SeqGain_basic,88.18651932875699,1.0533778049966006e-08,0.8171074066621373,0.291083043449247,4,1.011793704356875,0.09223435728752513,35.40482256237417
range:short,StaticGain_basic,89.62253245916341,5.137571442270871e-09,0.8117785262181536,0.29956423292500944,4,1.030761981751047,0.0827366957736062,36.840835692780594
