range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,Bayes(stimulus),0.0,17.24443966477746,1.1882057505548618,0.4633919500348105,0.742005150350946,-0.34961745832784513
long,Equal,0.0,39.66479821569557,1.4868324463678386,0.15977046480322088,0.6891167116065501,-0.12297764335619127
long,Bayes(range),0.0,39.86814813820412,1.4898589951947798,0.15634629425741764,0.6882305269537835,-0.11851318994467919
long,EmpiricalLinear,3.0,44.697909851152154,1.472525712971917,0.17586253421405673,0.742124119294106,-0.22367162439661803
long,LLM(Combined),,,0.0,1.0,1.373874197439489,-0.3994826
medium,Bayes(stimulus),0.0,20.976658942867374,1.2333901400586118,0.4202181458341976,0.6333013709952099,0.246189271656295
medium,Bayes(range),0.0,27.645501226063313,1.318447637404478,0.33749456278160594,0.687121929670936,0.23316473786794334
medium,Equal,0.0,31.686758687237425,1.3728207803963657,0.2817239871621955,0.6679991167658831,0.08350000000000009
medium,EmpiricalLinear,3.0,32.41869328038807,1.3023716295273757,0.3535521007427057,0.719221972523066,0.29184152342432773
medium,LLM(Combined),,,0.0,1.0,1.189015023960021,0.5865019086113721
short,Equal,0.0,4.993782012719891,1.051205730504738,0.443788460723627,0.7971522959886648,0.55403
short,Bayes(stimulus),0.0,7.911275145727531,1.0823263490634671,0.41036803691699264,0.8744496638408118,0.5523593414870036
short,EmpiricalLinear,3.0,8.857296111682352,1.028985083996217,0.46705460516902375,1.130390904695985,0.9412176095836569
short,Bayes(range),0.0,9.736719759980359,1.1022650483983258,0.38844344095167105,0.7166066852982274,0.4957875828195122
short,LLM(Combined),,,0.0,1.0,1.246663550043074,0.8223682000000001
