range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,Bayes(range),0.0,-33.268234956993034,0.7169979126809654,0.6455604840375557,1.037132270834163,-0.7374757088710413
long,Equal,0.0,-30.710377129038278,0.7355742654552292,0.6269565614517775,1.0416162047510589,-0.7347
long,EmpiricalLinear,3.0,-26.8541321841831,0.7199731769927001,0.6426128067460963,0.9501967345503755,-0.5598691471773617
long,Bayes(stimulus),0.0,-7.035176808195209,0.9320658912005668,0.4010375690607021,0.9553077191584648,-0.5669337758067138
long,LLM(Combined),,,0.0,1.0,1.0681429763847161,-0.6208
medium,EmpiricalLinear,3.0,-80.04025636777057,0.4229917669161403,0.8909078502049641,0.6198030502951767,-0.319231481977217
medium,Bayes(range),0.0,-67.542782935944,0.5089386351321153,0.8420714990975304,0.7136729303823642,-0.4752160127368259
medium,Bayes(stimulus),0.0,-37.67949703415699,0.6860567214516015,0.7130212639174927,0.8809777328115928,-0.4442428020500608
medium,Equal,0.0,-30.97425467553212,0.7336358088316027,0.6718361685263095,0.8705678376783739,-0.6217999999999998
medium,LLM(Combined),,,0.0,1.0,0.6201263419658933,-0.24229999999999993
short,EmpiricalLinear,3.0,-87.0767460774731,0.39425102203966533,0.8987964925667696,0.5577468810360837,-0.26256937084542875
short,Equal,0.0,-71.86422717757821,0.48741358208404495,0.8453160825332315,0.5480388699718296,-0.40817
short,Bayes(range),0.0,-58.98958091363743,0.5543850435810528,0.7998880984236126,0.5687498864164876,-0.44414334136194156
short,Bayes(stimulus),0.0,-24.63820374572858,0.7816235584007641,0.6022179424026499,0.6333122201950854,-0.44668982116366585
short,LLM(Combined),,,0.0,1.0,0.5669640226681054,-0.2785699999999999
