range_category,stimulus_id,w_img_bayes,w_txt_bayes
short,0,0.9910673092207546,0.008932690779245411
short,1,0.9075878720016797,0.09241212799832033
short,2,0.8188423058599332,0.18115769414006677
short,3,0.7633942094411711,0.2366057905588289
short,4,0.2710320901994797,0.7289679098005203
short,5,0.6638663576670528,0.3361336423329472
short,6,0.9999920000639995,7.999936000535612e-06
short,7,0.7724719101123597,0.22752808988764028
short,8,0.2952490214603862,0.7047509785396138
short,9,0.38180303591262504,0.618196964087375
medium,1,0.9116932705837832,0.08830672941621676
medium,2,0.5456116950345917,0.4543883049654083
medium,3,0.7873326835672312,0.21266731643276882
medium,4,0.916356120776032,0.08364387922396799
medium,5,0.8314145554273676,0.16858544457263236
medium,6,0.973394390943374,0.02660560905662601
medium,7,0.7759377274978938,0.2240622725021062
medium,8,0.7976214834752013,0.20237851652479866
medium,9,0.9999977704071998,2.22959280016255e-06
medium,0,0.9999552128442396,4.478715576039516e-05
long,0,0.9226141365669611,0.07738586343303888
long,1,0.90543342839522,0.09456657160477999
long,2,0.3116374321075594,0.6883625678924405
long,3,0.42887689395099776,0.5711231060490023
long,4,0.8076798818479717,0.19232011815202832
long,5,0.7408581549530675,0.2591418450469325
long,6,0.8797896785145011,0.12021032148549893
long,7,0.6290890790135883,0.37091092098641165
long,8,0.8549119440697609,0.1450880559302391
long,9,0.27363845323909763,0.7263615467609024
