range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,Equal,0.0,-43.529851172187655,0.6470714798227472,0.7466493329525321,0.48024404004630805,0.07009999999999997
long,Bayes(range),0.0,-39.787106208955656,0.6717486359430619,0.7269569529948372,0.44957673491936495,-0.020845068672339605
long,EmpiricalLinear,3.0,-38.2321105764891,0.6425432779744881,0.7501828184024986,0.44885324232192664,0.04120200145965894
long,Bayes(stimulus),0.0,-33.79371100394033,0.7132401421315606,0.6921854878765763,0.5403636058793279,0.07206126673273351
long,LLM(Combined),,,0.0,1.0,0.5591115613184904,0.15499999999999992
medium,Bayes(range),0.0,-95.55561186744646,0.3845982028259401,0.8867459053349569,0.45752239589863003,0.08312535862323406
medium,Equal,0.0,-89.81820270351652,0.40730946465801654,0.8729752304876965,0.5355088047828906,0.10650000000000008
medium,EmpiricalLinear,3.0,-85.38247144485338,0.4009876242177702,0.8768877269393612,0.5090002130184045,0.047914848000263584
medium,Bayes(stimulus),0.0,-80.37272242500096,0.44765733151482046,0.8465627469491577,0.524901835088906,0.014483304679704023
medium,LLM(Combined),,,0.0,1.0,0.4706980348376228,0.005900000000000043
short,EmpiricalLinear,3.0,-97.68474901660537,0.35457070953777425,0.921103968168147,0.4322170168310704,-0.03458684945991621
short,Equal,0.0,-94.08529268401314,0.39029480043936016,0.9044050437665788,0.4142790898054113,0.09775500000000002
short,Bayes(range),0.0,-91.13344060540906,0.4019874514868406,0.8985914810265136,0.41313751858282904,0.11265816632367505
short,Bayes(stimulus),0.0,-86.71025068741713,0.4201672188270666,0.8892117303045801,0.42401436042581414,0.12795468179198013
short,LLM(Combined),,,0.0,1.0,0.4812174591595779,-0.10636999999999988
