range_category,stimulus_id,w_img_bayes,w_txt_bayes
short,0,0.3303871370323197,0.6696128629676803
short,1,0.2515906741702079,0.7484093258297921
short,2,0.5,0.5
short,3,0.49865377977217806,0.5013462202278219
short,4,9.361455144587672e-06,0.9999906385448554
short,5,0.001109877913429524,0.9988901220865705
short,6,2.031653156173179e-05,0.9999796834684382
short,7,0.09677575172080667,0.9032242482791933
short,8,0.15955257270693504,0.840447427293065
short,9,0.14464903918518904,0.855350960814811
medium,0,0.32022695789134115,0.6797730421086589
medium,1,0.9741065407956844,0.025893459204315628
medium,2,0.8977991986528076,0.10220080134719245
medium,3,0.41527797425378415,0.5847220257462158
medium,4,0.9976057462090983,0.002394253790901746
medium,5,0.21965973534971645,0.7803402646502835
medium,6,0.7109526325057229,0.28904736749427706
medium,7,0.8948942959712805,0.10510570402871955
medium,8,0.9999918520993066,8.147900693367127e-06
medium,9,0.4320286824021515,0.5679713175978485
long,0,0.8092650644374785,0.19073493556252152
long,1,0.6644225789746255,0.33557742102537447
long,2,0.34031413612565503,0.659685863874345
long,3,0.47082400094306287,0.5291759990569371
long,4,0.23389734912577537,0.7661026508742246
long,5,0.9999883424068267,1.1657593173342029e-05
long,6,0.2743721307048336,0.7256278692951664
long,7,0.8309905020352782,0.16900949796472176
long,8,0.9100848798733989,0.08991512012660108
long,9,0.8294749583900741,0.17052504160992588
