range_category,stimulus_id,w_img_bayes,w_txt_bayes
short,0,0.9999894215995071,1.0578400492899931e-05
short,1,0.05376344086021503,0.946236559139785
short,2,0.5,0.5
short,3,0.36,0.64
short,4,0.046357615894039736,0.9536423841059603
short,5,0.06276150627615064,0.9372384937238494
short,6,0.10714285714285715,0.8928571428571428
short,7,0.33944954128440386,0.6605504587155961
short,8,0.021276595744680854,0.9787234042553191
short,9,0.23076923076923095,0.769230769230769
medium,0,0.9999914667394838,8.533260516196961e-06
medium,1,0.7640552995391704,0.2359447004608296
medium,2,0.04,0.96
medium,3,0.10373443983402489,0.8962655601659751
medium,4,8.333326388894674e-07,0.9999991666673611
medium,5,0.0588235294117647,0.9411764705882353
medium,6,0.6,0.4
medium,7,0.03255813953488373,0.9674418604651163
medium,8,0.015384615384615385,0.9846153846153847
medium,9,0.05882352941176472,0.9411764705882353
long,0,0.0421312579510589,0.9578687420489411
long,1,0.8288770053475936,0.17112299465240643
long,2,0.031849137891912016,0.968150862108088
long,3,0.058823529411764705,0.9411764705882353
long,4,0.0023529411764705885,0.9976470588235294
long,5,0.1880597014925373,0.8119402985074626
long,6,0.04191616766467066,0.9580838323353293
long,7,0.13978494623655913,0.8602150537634409
long,8,0.1794871794871795,0.8205128205128205
long,9,0.3469387755102041,0.653061224489796
