range_category,stimulus_id,w_img_bayes,w_txt_bayes
short,0,0.9999956756943753,4.324305624692215e-06
short,1,0.9998457028236384,0.00015429717636161744
short,2,3.333322222259259e-06,0.9999966666777778
short,3,0.4999999999999999,0.5000000000000001
short,4,0.5,0.5
short,5,0.5,0.5
short,6,0.9999192310798805,8.076892011954495e-05
short,7,0.9999964142411996,3.5857588004395424e-06
short,8,0.9999950985437773,4.901456222672351e-06
short,9,0.9995869475423379,0.00041305245766209975
medium,0,0.9997600575861794,0.0002399424138206374
medium,1,0.997947500698129,0.0020524993018710136
medium,2,0.9811764705882352,0.018823529411764794
medium,3,0.8670759275329711,0.13292407246702886
medium,4,0.7990968655923502,0.20090313440764984
medium,5,0.249484536082475,0.750515463917525
medium,6,0.364128885086969,0.6358711149130309
medium,7,0.9176822512740971,0.08231774872590292
medium,8,0.16084420994168297,0.8391557900583171
medium,9,0.8376447400837643,0.16235525991623567
long,0,0.23076923076923073,0.7692307692307693
long,1,0.8545454545454545,0.1454545454545455
long,2,0.45454545454545453,0.5454545454545454
long,3,0.368421052631579,0.631578947368421
long,4,0.999980000399992,1.999960000798051e-05
long,5,0.9999957894914127,4.210508587343398e-06
long,6,4.999975000124999e-06,0.9999950000249999
long,7,0.9999950000249999,4.99997500014171e-06
long,8,0.9999966666777778,3.3333222222431402e-06
long,9,0.7000000000000001,0.29999999999999993
