range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,EmpiricalLinear,3.0,-5.675402909102253,0.8463760876311663,0.44570161727839264,1.2524948151841244,-0.8032470197367959
long,Bayes(stimulus),0.0,16.786017218281295,1.2709952385478187,-0.24998467589617368,1.6587657367676436,-1.3480828413288937
long,Equal,0.0,20.549882570440815,1.341206726666095,-0.3919008097610952,1.8010147047505385,-1.5988424773443226
long,Bayes(range),0.0,26.87036540554707,1.4679433843597056,-0.6673833242220051,1.9187793351338065,-1.7362739469403792
long,LLM(Combined),,,0.0,1.0,0.9145939839728107,-0.5012633227008823
medium,EmpiricalLinear,3.0,-23.597499448533164,0.6386191821454301,0.6597809377964963,0.7272800278192657,0.1167550629540046
medium,Bayes(range),0.0,-11.672673279891507,0.8378981828509401,0.41432427781231795,0.8054431267283522,-0.4187609320346727
medium,Bayes(stimulus),0.0,-2.2231576071001395,0.9668767901572682,0.22013937245446358,0.9934405966360675,-0.30779893098208666
medium,Equal,0.0,9.554590462473948,1.155769692150767,-0.11433899414562076,1.0408700305459988,-0.7361364071599259
medium,LLM(Combined),,,0.0,1.0,0.7910913319298508,0.03459090909090918
short,Bayes(stimulus),0.0,-40.45677608933336,0.5515887163168123,0.7872426005458752,0.5271896624439509,-0.06477091540811392
short,EmpiricalLinear,3.0,-39.759775900184344,0.5102074450903933,0.8179680967642612,0.6082408289899538,0.35918859761101674
short,Bayes(range),0.0,-39.354535301157675,0.560602508161608,0.780232230947658,0.5088912815317138,-0.17111096121691483
short,Equal,0.0,-27.473218724257045,0.6676321555800299,0.6883060175017155,0.5816672096662961,-0.3100994620855258
short,LLM(Combined),,,0.0,1.0,0.4497521873209735,0.12807058823529416
