range_category,stimulus_id,w_img_bayes,w_txt_bayes
short,1,0.6833727464591757,0.3166272535408243
short,2,0.9956942949407963,0.0043057050592036905
short,4,0.4985490423679624,0.5014509576320376
short,5,0.9999970036046635,2.9963953365186313e-06
short,7,0.5909631103097652,0.4090368896902348
short,8,0.9985149288729093,0.0014850711270907313
short,0,0.2757142857142856,0.7242857142857144
short,3,0.9996001599360256,0.0003998400639744215
short,6,0.05824310925781806,0.9417568907421819
short,9,0.37901758641600974,0.6209824135839903
medium,1,0.9306288870114743,0.06937111298852572
medium,2,0.8047664442326022,0.19523355576739776
medium,4,0.31563907523133217,0.6843609247686678
medium,5,0.5,0.5
medium,7,0.984095672681425,0.01590432731857505
medium,8,0.24503455912590988,0.7549654408740901
medium,0,0.9999992028914846,7.971085154157009e-07
medium,3,0.5,0.5
medium,6,0.7935878104912307,0.20641218950876927
medium,9,0.657600975008922,0.342399024991078
long,1,0.9999950382201764,4.961779823564605e-06
long,2,0.9999970623821942,2.9376178057871627e-06
long,4,0.000793790792026825,0.9992062092079732
long,5,0.33861606315555404,0.661383936844446
long,7,0.5953087063132271,0.4046912936867729
long,8,0.8559383417558881,0.14406165824411188
long,0,0.038573073478613135,0.9614269265213868
long,3,0.6968454258675082,0.3031545741324918
long,6,0.9968021850245847,0.0031978149754152696
long,9,0.9999970000089999,2.999991000063318e-06
