range_category,stimulus_id,w_img_bayes,w_txt_bayes
short,0,0.006427415509747096,0.9935725844902529
short,1,0.02737791754155714,0.9726220824584428
short,2,0.5260636515304811,0.47393634846951893
short,3,0.045083851387220555,0.9549161486127794
short,4,0.7066043439048502,0.29339565609514984
short,5,0.23675960438253454,0.7632403956174655
short,6,0.0010824274728670424,0.998917572527133
short,7,0.12720801310616014,0.8727919868938399
short,8,0.10502588296194644,0.8949741170380535
short,9,0.23883934556323155,0.7611606544367684
medium,0,0.05081669632068312,0.9491833036793169
medium,1,0.10335616634325755,0.8966438336567425
medium,2,0.3813808236040019,0.6186191763959981
medium,3,0.24372688720279642,0.7562731127972036
medium,4,0.4396535845290459,0.5603464154709541
medium,5,0.24677844079373526,0.7532215592062648
medium,6,0.0994040157738208,0.9005959842261793
medium,7,0.18028204716759813,0.8197179528324019
medium,8,0.31028759729380273,0.6897124027061973
medium,9,0.06408794758873756,0.9359120524112624
long,1,0.11310430563732295,0.886895694362677
long,2,0.20814049377315516,0.7918595062268449
long,3,0.11122802825124697,0.888771971748753
long,4,0.1911017844767738,0.8088982155232262
long,5,0.17342191166134224,0.8265780883386578
long,6,0.015226711086494434,0.9847732889135056
long,7,0.7158007011433977,0.28419929885660233
long,8,0.03003443963859599,0.969965560361404
long,9,0.3929574953985615,0.6070425046014385
long,0,0.09949454630141577,0.9005054536985843
