correct,response,range_category,trial,stimulus_id
2.5,4.03,short,0,0
4.8023,7.28,short,1,1
3.9051,4.03,short,2,2
3.4004,3.75,short,3,3
1.6008,1.25,short,4,4
1.25,1.25,short,5,5
4.4721,7.07,short,6,6
1.118,1.12,short,7,7
4.8541,7.02,short,8,8
4.3661,7.18,short,9,9
2.5,8.03,short,10,0
4.8023,6.75,short,11,1
3.9051,5.0,short,12,2
3.4004,4.75,short,13,3
1.6008,2.25,short,14,4
1.25,1.25,short,15,5
4.4721,7.07,short,16,6
1.118,1.12,short,17,7
4.8541,7.01,short,18,8
4.3661,7.15,short,19,9
2.5,2.8284271247461903,short,20,0
4.8023,7.609563090157649,short,21,1
3.9051,4.58257569495584,short,22,2
3.4004,3.2015621187164243,short,23,3
1.6008,1.25,short,24,4
1.25,1.25,short,25,5
4.4721,1.0,short,26,6
1.118,1.118033988749895,short,27,7
4.8541,0.25,short,28,8
4.3661,1.25,short,29,9
2.5,6.4,short,30,0
4.8023,10.1,short,31,1
3.9051,5.0,short,32,2
3.4004,4.8,short,33,3
1.6008,1.3,short,34,4
1.25,1.3,short,35,5
4.4721,7.1,short,36,6
1.118,1.1,short,37,7
4.8541,7.0,short,38,8
4.3661,7.1,short,39,9
2.5,4.242640687119285,short,40,0
4.8023,7.75,short,41,1
3.9051,4.5,short,42,2
3.4004,4.75,short,43,3
1.6008,1.25,short,44,4
1.25,1.25,short,45,5
4.4721,7.0710678118654755,short,46,6
1.118,1.118033988749895,short,47,7
4.8541,7.00390625,short,48,8
4.3661,7.035923669699749,short,49,9
4.4721,10.0,medium,0,0
6.8237,13.75,medium,1,1
5.9634,9.75,medium,2,2
5.3852,11.0,medium,3,3
3.6056,5.0,medium,4,4
3.25,5.75,medium,5,5
6.5,13.5,medium,6,6
5.831,9.0,medium,7,7
3.0923,5.25,medium,8,8
6.8966,11.75,medium,9,9
4.4721,5.65685,medium,10,0
6.8237,7.619875,medium,11,1
5.9634,4.07,medium,12,2
5.3852,4.472136,medium,13,3
3.6056,3.0,medium,14,4
3.25,3.09233,medium,15,5
6.5,2.692582,medium,16,6
5.831,4.123106,medium,17,7
3.0923,3.24999,medium,18,8
6.8966,9.621,medium,19,9
4.4721,13.0,medium,20,0
6.8237,11.0,medium,21,1
5.9634,9.0,medium,22,2
5.3852,9.0,medium,23,3
3.6056,5.0,medium,24,4
3.25,5.0,medium,25,5
6.5,11.0,medium,26,6
5.831,9.0,medium,27,7
3.0923,5.0,medium,28,8
6.8966,9.0,medium,29,9
4.4721,1.0,medium,30,0
6.8237,1.0,medium,31,1
5.9634,1.0,medium,32,2
5.3852,1.0,medium,33,3
3.6056,1.0,medium,34,4
3.25,1.0,medium,35,5
6.5,1.0,medium,36,6
5.831,1.0,medium,37,7
3.0923,1.0,medium,38,8
6.8966,1.0,medium,39,9
4.4721,14.14,medium,40,0
6.8237,11.66,medium,41,1
5.9634,9.03,medium,42,2
5.3852,9.22,medium,43,3
3.6056,5.0,medium,44,4
3.25,5.03,medium,45,5
6.5,13.01,medium,46,6
5.831,9.06,medium,47,7
3.0923,5.59,medium,48,8
6.8966,11.2,medium,49,9
6.5,26.7,long,0,0
8.8459,26.7,long,1,1
7.9412,28.4,long,2,2
7.433,21.2,long,3,3
5.6569,14.0,long,4,4
5.2202,17.5,long,5,5
8.4595,27.2,long,6,6
7.8262,28.4,long,7,7
5.099,17.0,long,8,8
8.9022,26.7,long,9,9
6.5,17.52,long,10,0
8.8459,12.5,long,11,1
7.9412,15.25,long,12,2
7.433,10.5,long,13,3
5.6569,9.85,long,14,4
5.2202,11.51,long,15,5
8.4595,14.25,long,16,6
7.8262,15.5,long,17,7
5.099,12.04,long,18,8
8.9022,13.5,long,19,9
6.5,15.52417471,long,20,0
8.8459,12.5,long,21,1
7.9412,15.25,long,22,2
7.433,10.5,long,23,3
5.6569,9.848857813,long,24,4
5.2202,11.5,long,25,5
8.4595,14.25,long,26,6
7.8262,15.5,long,27,7
5.099,12.04159458,long,28,8
8.9022,13.5,long,29,9
6.5,1.0,long,30,0
8.8459,12.5,long,31,1
7.9412,13.0,long,32,2
7.433,10.5,long,33,3
5.6569,7.0,long,34,4
5.2202,10.0,long,35,5
8.4595,13.0,long,36,6
7.8262,13.0,long,37,7
5.099,9.0,long,38,8
8.9022,13.0,long,39,9
6.5,1.0,long,40,0
8.8459,1.0,long,41,1
7.9412,1.0,long,42,2
7.433,1.0,long,43,3
5.6569,1.0,long,44,4
5.2202,1.0,long,45,5
8.4595,1.0,long,46,6
7.8262,1.0,long,47,7
5.099,1.0,long,48,8
8.9022,1.0,long,49,9
