correct,response,range_category,trial,stimulus_id
2.5,2.5,short,0,0
4.8023,1.75,short,1,1
3.9051,2.5,short,2,2
3.4004,0.75,short,3,3
1.6008,1.125,short,4,4
1.25,1.25,short,5,5
4.4721,7.0,short,6,6
1.118,1.118,short,7,7
4.8541,7.012,short,8,8
4.3661,7.125,short,9,9
2.5,2.5,short,10,0
4.8023,2.45,short,11,1
3.9051,3.5,short,12,2
3.4004,2.75,short,13,3
1.6008,0.75,short,14,4
1.25,1.25,short,15,5
4.4721,7.05,short,16,6
1.118,1.12,short,17,7
4.8541,7.01,short,18,8
4.3661,7.25,short,19,9
2.5,4.525,short,20,0
4.8023,9.74,short,21,1
3.9051,4.12,short,22,2
3.4004,3.12,short,23,3
1.6008,1.0,short,24,4
1.25,1.25,short,25,5
4.4721,10.05,short,26,6
1.118,1.12,short,27,7
4.8541,10.01,short,28,8
4.3661,10.06,short,29,9
2.5,4.5,short,30,0
4.8023,6.75,short,31,1
3.9051,6.4,short,32,2
3.4004,4.75,short,33,3
1.6008,2.25,short,34,4
1.25,1.25,short,35,5
4.4721,7.0,short,36,6
1.118,1.12,short,37,7
4.8541,7.01,short,38,8
4.3661,7.12,short,39,9
2.5,3.60555127546,short,40,0
4.8023,8.60232526704,short,41,1
3.9051,4.58222038435,short,42,2
3.4004,3.24037037046,short,43,3
1.6008,0.559016994375,short,44,4
1.25,1.25,short,45,5
4.4721,7.07106781187,short,46,6
1.118,1.11803398875,short,47,7
4.8541,7.00356797444,short,48,8
4.3661,7.14142842854,short,49,9
4.4721,7.0,medium,0,0
6.8237,1.75,medium,1,1
5.9634,0.75,medium,2,2
5.3852,2.0,medium,3,3
3.6056,5.0,medium,4,4
3.25,0.75,medium,5,5
6.5,2.5,medium,6,6
5.831,1.0,medium,7,7
3.0923,1.25,medium,8,8
6.8966,8.75,medium,9,9
4.4721,6.0,medium,10,0
6.8237,10.1,medium,11,1
5.9634,9.0,medium,12,2
5.3852,7.0,medium,13,3
3.6056,5.0,medium,14,4
3.25,4.25,medium,15,5
6.5,10.1,medium,16,6
5.831,8.1,medium,17,7
3.0923,4.25,medium,18,8
6.8966,8.75,medium,19,9
4.4721,5.1,medium,20,0
6.8237,1.75,medium,21,1
5.9634,0.75,medium,22,2
5.3852,2.0,medium,23,3
3.6056,5.0,medium,24,4
3.25,0.75,medium,25,5
6.5,2.5,medium,26,6
5.831,1.0,medium,27,7
3.0923,1.25,medium,28,8
6.8966,8.75,medium,29,9
4.4721,1.0,medium,30,0
6.8237,10.0039375,medium,31,1
5.9634,8.25,medium,32,2
5.3852,6.0,medium,33,3
3.6056,3.0,medium,34,4
3.25,3.25,medium,35,5
6.5,10.015625,medium,36,6
5.831,5.0,medium,37,7
3.0923,3.25,medium,38,8
6.8966,9.0,medium,39,9
4.4721,5.1,medium,40,0
6.8237,3.25,medium,41,1
5.9634,2.25,medium,42,2
5.3852,3.0,medium,43,3
3.6056,1.0,medium,44,4
3.25,1.25,medium,45,5
6.5,4.5,medium,46,6
5.831,1.0,medium,47,7
3.0923,1.25,medium,48,8
6.8966,8.75,medium,49,9
6.5,12.5,long,0,0
8.8459,12.5,long,1,1
7.9412,13.25,long,2,2
7.433,10.5,long,3,3
5.6569,7.0,long,4,4
5.2202,9.25,long,5,5
8.4595,13.25,long,6,6
7.8262,13.25,long,7,7
5.099,9.3,long,8,8
8.9022,13.0,long,9,9
6.5,17.32,long,10,0
8.8459,17.32,long,11,1
7.9412,17.32,long,12,2
7.433,2.24,long,13,3
5.6569,3.61,long,14,4
5.2202,6.56,long,15,5
8.4595,17.32,long,16,6
7.8262,17.32,long,17,7
5.099,5.83,long,18,8
8.9022,17.32,long,19,9
6.5,1.0,long,20,0
8.8459,2.5,long,21,1
7.9412,2.0,long,22,2
7.433,0.5,long,23,3
5.6569,5.0,long,24,4
5.2202,2.0,long,25,5
8.4595,1.0,long,26,6
7.8262,2.5,long,27,7
5.099,3.0,long,28,8
8.9022,0.5,long,29,9
6.5,12.5,long,30,0
8.8459,0.5,long,31,1
7.9412,1.25,long,32,2
7.433,0.5,long,33,3
5.6569,0.0,long,34,4
5.2202,0.5,long,35,5
8.4595,1.25,long,36,6
7.8262,0.5,long,37,7
5.099,1.0,long,38,8
8.9022,0.5,long,39,9
6.5,7.55,long,40,0
8.8459,1.5,long,41,1
7.9412,2.25,long,42,2
7.433,0.5,long,43,3
5.6569,1.0,long,44,4
5.2202,6.5,long,45,5
8.4595,12.0,long,46,6
7.8262,10.5,long,47,7
5.099,1.0,long,48,8
8.9022,13.0,long,49,9
