correct,response,range_category,trial,stimulus_id
2.5,,short,0,0
4.8023,7.07,short,1,1
3.9051,5.02,short,2,2
3.4004,4.77,short,3,3
1.6008,2.55,short,4,4
1.25,1.25,short,5,5
4.4721,7.07,short,6,6
1.118,1.25,short,7,7
4.8541,7.0,short,8,8
4.3661,7.03,short,9,9
2.5,,short,10,0
4.8023,7.07,short,11,1
3.9051,5.0,short,12,2
3.4004,4.77,short,13,3
1.6008,2.5,short,14,4
1.25,1.25,short,15,5
4.4721,7.07,short,16,6
1.118,1.12,short,17,7
4.8541,7.01,short,18,8
4.3661,7.14,short,19,9
2.5,,short,20,0
4.8023,7.0710678118654755,short,21,1
3.9051,5.0990195135927845,short,22,2
3.4004,5.024845719789682,short,23,3
1.6008,2.549509756796392,short,24,4
1.25,1.25,short,25,5
4.4721,7.0710678118654755,short,26,6
1.118,1.25,short,27,7
4.8541,7.003742651097412,short,28,8
4.3661,7.017424130403207,short,29,9
2.5,,short,30,0
4.8023,7.75,short,31,1
3.9051,6.5,short,32,2
3.4004,6.5,short,33,3
1.6008,2.7,short,34,4
1.25,1.25,short,35,5
4.4721,1.0,short,36,6
1.118,1.12,short,37,7
4.8541,7.02,short,38,8
4.3661,7.04,short,39,9
2.5,,short,40,0
4.8023,7.75,short,41,1
3.9051,6.5,short,42,2
3.4004,6.0,short,43,3
1.6008,3.25,short,44,4
1.25,1.25,short,45,5
4.4721,7.07,short,46,6
1.118,1.12,short,47,7
4.8541,7.0,short,48,8
4.3661,7.12,short,49,9
4.4721,,medium,0,0
6.8237,10.0498756211,medium,1,1
5.9634,9.75396901936,medium,2,2
5.3852,8.0622577483,medium,3,3
3.6056,5.0,medium,4,4
3.25,5.02493781048,medium,5,5
6.5,11.2379787072,medium,6,6
5.831,8.0622577483,medium,7,7
3.0923,5.02493781048,medium,8,8
6.8966,11.0622577483,medium,9,9
4.4721,,medium,10,0
6.8237,10.0,medium,11,1
5.9634,9.017,medium,12,2
5.3852,9.2195,medium,13,3
3.6056,5.0,medium,14,4
3.25,5.025,medium,15,5
6.5,11.358,medium,16,6
5.831,9.055,medium,17,7
3.0923,5.025,medium,18,8
6.8966,11.358,medium,19,9
4.4721,,medium,20,0
6.8237,10.0498756211209,medium,21,1
5.9634,9.00500208367817,medium,22,2
5.3852,7.0710678118654755,medium,23,3
3.6056,5.0,medium,24,4
3.25,5.024744834930721,medium,25,5
6.5,11.40175425099137,medium,26,6
5.831,7.0710678118654755,medium,27,7
3.0923,5.024744834930721,medium,28,8
6.8966,11.704699910720525,medium,29,9
4.4721,,medium,30,0
6.8237,10.26,medium,31,1
5.9634,9.02,medium,32,2
5.3852,9.06,medium,33,3
3.6056,5.0,medium,34,4
3.25,5.02,medium,35,5
6.5,9.22,medium,36,6
5.831,9.06,medium,37,7
3.0923,5.03,medium,38,8
6.8966,12.03,medium,39,9
4.4721,,medium,40,0
6.8237,10.0498756211,medium,41,1
5.9634,9.00500012503,medium,42,2
5.3852,5.02493781051,medium,43,3
3.6056,5.0,medium,44,4
3.25,5.02493781051,medium,45,5
6.5,5.85214377354,medium,46,6
5.831,5.02493781051,medium,47,7
3.0923,5.02493781051,medium,48,8
6.8966,5.09901951359,medium,49,9
6.5,,long,0,0
8.8459,12.56,long,1,1
7.9412,12.02,long,2,2
7.433,11.02,long,3,3
5.6569,7.07,long,4,4
5.2202,5.39,long,5,5
8.4595,13.18,long,6,6
7.8262,12.18,long,7,7
5.099,6.18,long,8,8
8.9022,13.02,long,9,9
6.5,,long,10,0
8.8459,1.7677669529663689,long,11,1
7.9412,2.23606797749979,long,12,2
7.433,1.4142135623730951,long,13,3
5.6569,0.0,long,14,4
5.2202,0.5,long,15,5
8.4595,1.6007810593147185,long,16,6
7.8262,2.0615528128088303,long,17,7
5.099,1.0,long,18,8
8.9022,1.450966559640114,long,19,9
6.5,,long,20,0
8.8459,13.038,long,21,1
7.9412,11.259,long,22,2
7.433,10.025,long,23,3
5.6569,4.0,long,24,4
5.2202,5.022,long,25,5
8.4595,11.136,long,26,6
7.8262,11.259,long,27,7
5.099,4.243,long,28,8
8.9022,13.006,long,29,9
6.5,,long,30,0
8.8459,13.03840481040537,long,31,1
7.9412,10.159376494690177,long,32,2
7.433,2.5594572041896657,long,33,3
5.6569,1.0,long,34,4
5.2202,2.8284271247461903,long,35,5
8.4595,2.5594572041896657,long,36,6
7.8262,3.190889706239907,long,37,7
5.099,3.605551275463989,long,38,8
8.9022,2.570758878500988,long,39,9
6.5,,long,40,0
8.8459,13.038404810405371,long,41,1
7.9412,10.024921974878584,long,42,2
7.433,10.246950765959598,long,43,3
5.6569,4.031128874149221,long,44,4
5.2202,2.8284271247461903,long,45,5
8.4595,11.092572271091855,long,46,6
7.8262,10.024921974878584,long,47,7
5.099,3.605551275463989,long,48,8
8.9022,13.024921974878586,long,49,9
