group,response_mean,response_var,correct_mean,correct_var,range_category
0,3.6759999999999997,0.6094799999999998,2.8284,0.0,short
1,6.714,3.1506800000000004,5.0,0.0,short
2,6.556,1.2622800000000003,4.2426,0.0,short
3,5.89,4.130149999999999,3.6056,0.0,short
4,2.9859999999999998,0.35558,2.2361,0.0,short
5,2.9539999999999997,0.34678,2.2361,0.0,short
6,1.41,0.0,1.4142,0.0,short
7,7.114,2.2366800000000007,5.0,0.0,short
8,5.328,3.011769999999999,3.6056,0.0,short
9,6.308,1.2511199999999998,4.2426,0.0,short
0,5.2,1.2,5.0,0.0,medium
1,5.6,0.30000000000000004,7.0710999999999995,0.0,medium
2,6.8,6.2,6.4031,0.0,medium
3,5.0,0.0,5.6569,0.0,medium
4,4.162,4.34622,4.2426,0.0,medium
5,4.014,3.10598,4.2426,0.0,medium
6,3.4,2.3,3.6056,0.0,medium
7,6.6,3.8000000000000003,7.0710999999999995,0.0,medium
8,5.414,0.8569800000000004,5.6569,0.0,medium
9,7.2,5.2,6.4031,0.0,medium
0,8.894,14.607179999999998,7.0710999999999995,0.0,long
1,10.532,3.3525199999999975,9.2195,0.0,long
2,9.328,5.729669999999996,8.4853,0.0,long
3,8.818000000000001,1.5522199999999986,7.8102,0.0,long
4,6.298,1.4251200000000002,5.6569,0.0,long
5,6.494,1.77843,5.6569,0.0,long
6,6.258,1.5532700000000002,5.6569,0.0,long
7,9.266,1.4271800000000006,8.4853,0.0,long
8,8.156,1.8508799999999992,7.8102,0.0,long
9,8.7,2.1318499999999982,8.4853,0.0,long
