range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,Equal,0.0,150.11133818123227,4.486681680262151,-16.09435504415761,2.1165079347831415,1.4854999999999998
long,EmpiricalLinear,2.0,156.0066559143219,4.57252952866162,-16.75477776026024,3.611937692928296,2.2138690731119355
long,Combo_NonOracle,0.0,157.47468444814803,4.829518843993546,-18.806600088730264,1.4523951648846132,0.9651724404219315
long,Combo_Oracle,0.0,194.1952021088246,6.972347865675209,-40.28195886547694,1.7046924662318235,-1.2336215060987081
long,LLM(Combined),,,0.0,1.0,5.848152130203181,5.622999999999999
medium,EmpiricalLinear,2.0,141.38975274579084,3.950718762139021,,5.815033572193116,5.437586939245886
medium,Equal,0.0,163.9283360743591,5.151476438847411,,4.055956715745374,3.9192
medium,Combo_NonOracle,0.0,182.78692686878497,6.220618061951984,,2.8977814043886796,2.8345046171805164
medium,Combo_Oracle,0.0,215.47509923917195,8.625742036133776,,0.7734612656408301,0.40650673597410714
medium,LLM(Combined),,,0.0,1.0,9.047247466494989,8.9617
short,EmpiricalLinear,2.0,98.64098025132267,2.576443095346048,-0.18325472790665343,7.63537006768186,7.250267959901613
short,Equal,0.0,117.30168175581382,3.231727479228408,-0.8616867201426024,5.083615381104278,4.932730000000001
short,Combo_NonOracle,0.0,154.90772956143084,4.707124893407089,-2.9495587811288226,3.413456583654858,3.2771423104334203
short,Combo_Oracle,0.0,194.6951046655942,7.007290076657766,-7.752605030022531,1.2575454414911689,0.8271147701245901
short,LLM(Combined),,,0.0,1.0,7.728095292049653,7.430230000000002
