range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,Combo_Oracle,0.0,-7.541728464308546,0.9055314507260833,-0.24375205023961288,1.1394994249341381,-0.5380739754005779
long,EmpiricalLinear,2.0,2.303783779769088,0.9779285836393733,-0.4505777531266044,1.4860030984606387,-1.0633775753154617
long,Equal,0.0,16.964653465822522,1.2500944701143695,-1.3703495780548822,1.7338859028054205,-1.423855263157895
long,Combo_NonOracle,0.0,24.790885690796785,1.3856867489326876,-1.9124391476519285,1.8509055496513143,-1.5405901738282155
long,LLM(Combined),,,0.0,1.0,0.8745444123716793,-0.5729342105263158
medium,Combo_Oracle,0.0,-71.52310437069745,0.4353243017843669,0.8596601983692649,0.6760647706768796,0.04276345938333686
medium,EmpiricalLinear,2.0,-55.30347684502733,0.5017891275651754,0.8135349129693031,0.7798630764171008,-0.19856445814711418
medium,Equal,0.0,3.441828737693383,1.0408329066352984,0.1977364468734485,1.1596454878288711,-0.9114860465116277
medium,Combo_NonOracle,0.0,22.897407665746687,1.3050598820439288,-0.26129278987077864,1.3906393923627285,-1.1423542548348344
medium,LLM(Combined),,,0.0,1.0,0.8179888591667555,-0.01602093023255804
short,EmpiricalLinear,2.0,-60.77287924245526,0.4538842081967789,0.8507839755469926,0.4816693545122298,0.028963577346453374
short,Equal,0.0,-54.71215012873382,0.513132417655307,0.8092852757101462,0.524566436304841,-0.3262999999999998
short,Combo_Oracle,0.0,-46.873760355678016,0.5646036921073153,0.769105947115195,0.5879949141198088,0.45385322711557446
short,Combo_NonOracle,0.0,-37.126825940844135,0.6358668009710341,0.7071416434250033,0.6415731208260097,-0.4413464047141922
short,LLM(Combined),,,0.0,1.0,0.3260737904666186,0.008334146341463514
