range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,EmpiricalLinear,2.0,-38.966749408603334,0.650725428807821,0.6086491433060637,0.7148150133250668,-0.34156845703603905
long,Combo_Oracle,0.0,-36.67183146718243,0.6930048268445321,0.556142818166441,0.5630935659958992,-0.14336306932100312
long,Combo_NonOracle,0.0,-16.230750689689106,0.8501797282087964,0.33197575773015553,0.9900784244616483,-0.8384726885042114
long,Equal,0.0,16.371808849057697,1.1778822097306674,-0.2822551651794585,1.3294738274971794,-1.1971
long,LLM(Combined),,,0.0,1.0,0.7946216571425675,-0.31000000000000005
medium,Combo_Oracle,0.0,-39.866712558204966,0.6712140941706785,0.6484641384102962,0.6230490571829711,-0.24040701441635692
medium,EmpiricalLinear,2.0,-30.142451065749093,0.7107571201817171,0.605824216690849,0.6746112705074391,-0.33373909363239174
medium,Combo_NonOracle,0.0,-3.8245452622596874,0.9624766694724362,0.2771837240334323,0.9926243395885708,-0.7909327394274753
medium,Equal,0.0,21.34642235814065,1.237959207728591,-0.19580446317103672,1.2923485907447727,-1.1208999999999998
medium,LLM(Combined),,,0.0,1.0,0.6030361846522976,-0.08029999999999986
short,Combo_NonOracle,0.0,-64.70845179157581,0.5235700127310232,0.8227522668327207,0.4652485108492248,-0.03819058542289336
short,Combo_Oracle,0.0,-61.77538694395427,0.5391540890438334,0.8120436653445201,0.6034797069897901,0.38377008373736293
short,EmpiricalLinear,2.0,-61.756766719865695,0.5181100190944034,0.8264298087898561,0.566011467028896,0.2717335169331346
short,Equal,0.0,-42.209068090566895,0.6556745795320869,0.7220236465749181,0.5414227950502268,-0.26186999999999994
short,LLM(Combined),,,0.0,1.0,0.6255521003430217,0.14113059686219848
