range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,Combo_NonOracle,0.0,50.80845876882452,1.306579875201115,0.421167463195509,1.1613965944392832,-0.6409154165018582
long,EmpiricalLinear,2.0,55.27289828693668,1.3097776099499494,0.41833071670819477,1.1292169824811613,-0.6457694275020724
long,Combo_Oracle,0.0,57.13484890819937,1.3508171844009784,0.381308485227295,0.9172323127160672,-0.37221458334126406
long,Equal,0.0,88.22920171321093,1.591002339069822,0.141732549546134,1.3169668948402853,-0.6668526315789473
long,LLM(Combined),,,0.0,1.0,1.5076769227620623,-0.9147378472080268
medium,EmpiricalLinear,2.0,-62.93584557070447,0.7030734414051194,0.7453073087779019,0.7111630452027283,-0.5283039432783332
medium,Combo_NonOracle,0.0,-62.77089298169874,0.7186555379580862,0.733892784825141,0.6654842846167158,-0.46873301743428525
medium,Equal,0.0,-47.03115817155022,0.7807249159898564,0.6859410487269295,0.995151802609452,-0.7870478947368419
medium,Combo_Oracle,0.0,4.489007238294075,1.0239076672854055,0.4598222555294059,0.48718483185970807,-0.0343732240632225
medium,LLM(Combined),,,0.0,1.0,1.1160384456215042,-0.8179210526315788
short,Equal,0.0,-105.93108265868626,0.5726205408608649,0.6790083892650245,0.602861598697587,-0.3629310526315788
short,EmpiricalLinear,2.0,-82.45458822255023,0.6344326471404627,0.6059685537565291,0.5164056224526814,-0.2559071085112798
short,Combo_NonOracle,0.0,-79.273163615103,0.6588712226040365,0.5750274144948153,0.5087482170509102,-0.23126685932752172
short,Combo_Oracle,0.0,26.943539846990934,1.152355495435553,-0.29996838628373035,0.6343353963142422,0.40658780740449546
short,LLM(Combined),,,0.0,1.0,0.9041011325009352,-0.6366263157894736
