range,model,k,aic,rmse_to_llm,r2_to_llm,rmse_vs_truth,bias_vs_truth
long,Equal,0.0,159.85451163981597,4.945831578208057,-151.8828125,2.5986197948141627,2.118
long,Combo_NonOracle,0.0,161.60607758200035,5.033224215207791,-157.333412503463,2.382890225603562,1.9721534947109973
long,EmpiricalLinear,2.0,164.05740303031305,4.955876431293983,-152.50444501409487,3.060995150083211,2.3065983386154647
long,Combo_Oracle,0.0,207.6750376616785,7.978499623003376,-396.8528514641564,1.6293505420136651,-1.1563651578196847
long,LLM(Combined),,,0.0,1.0,6.869725419403603,6.743
medium,EmpiricalLinear,2.0,100.88292636386691,2.634857928965443,-1.2762217396170699,5.02124720943006,4.704612661334526
medium,Equal,0.0,107.5808131189084,2.932361676192076,-1.819260655737705,4.42509988813812,4.2191
medium,Combo_NonOracle,0.0,120.05839834077085,3.3220563821818767,-2.618379870949292,4.047607371028935,3.8436442804584847
medium,Combo_Oracle,0.0,185.4168991318257,6.386388900247142,-12.37244694596718,1.1548987647339999,0.532083542915728
medium,LLM(Combined),,,0.0,1.0,6.78137882144922,6.6617
short,EmpiricalLinear,2.0,87.19250094344162,2.297737652334227,0.09478116745175125,5.597203567520355,5.232310339451337
short,Equal,0.0,96.7638515792561,2.6317223447772755,-0.18749785679994524,4.393794242223913,4.20573
short,Combo_NonOracle,0.0,117.50327914489407,3.238249128977784,-0.7979317984578183,3.506387781877829,3.411856861951593
short,Combo_Oracle,0.0,177.92000823041187,5.92511491816567,-5.01930368175526,0.8402211279084004,0.6242816149039491
short,LLM(Combined),,,0.0,1.0,6.427239597447725,6.190230000000001
